ts,gpu%,gpu_mem,cpu%,ram_mb
21:33:08,3,88,6.6,
21:33:39,30,287,10.6,
21:34:09,25,287,5.3,
21:34:39,30,287,6.1,
21:35:09,26,287,5.8,
21:35:39,30,287,9.0,
21:36:10,23,287,5.3,
21:36:40,27,287,6.5,
21:37:10,30,287,5.3,
21:37:40,24,287,9.8,
21:38:11,24,287,5.3,
21:38:41,25,287,5.3,
21:39:11,31,287,5.8,
21:39:41,27,287,6.2,
21:40:12,27,287,6.2,
21:40:42,27,287,5.8,
21:41:12,43,287,5.2,
21:41:42,27,287,6.3,
21:42:13,28,287,5.7,
21:42:43,30,287,6.6,
21:43:13,30,287,5.8,
21:43:43,31,287,8.4,
21:44:14,25,287,5.7,
21:44:44,31,287,6.2,
21:45:14,31,287,5.3,
21:45:44,29,287,8.4,
21:46:15,31,287,4.9,
21:46:45,25,287,5.7,
21:47:15,31,287,5.8,
21:47:45,30,287,6.6,
21:48:15,30,287,5.3,
21:48:46,31,287,5.8,
21:49:16,43,287,5.7,
21:49:46,28,287,8.2,
21:50:16,24,287,5.3,
21:50:47,30,287,5.7,
21:51:17,31,287,5.3,
21:51:47,31,287,10.0,
21:52:17,30,287,5.8,
21:52:48,31,287,5.6,
21:53:18,45,287,5.2,
21:53:48,26,287,5.8,
21:54:18,24,287,5.8,
21:54:49,31,287,5.6,
21:55:19,31,287,5.3,
21:55:49,31,287,6.0,
21:56:19,30,287,6.6,
21:56:50,26,287,5.6,
21:57:20,31,287,5.3,
21:57:50,25,287,5.3,
21:58:20,31,287,5.7,
21:58:51,31,287,5.2,
21:59:21,30,287,5.8,
21:59:51,32,287,6.5,
22:00:21,29,287,5.7,
22:00:51,30,287,5.3,
22:01:22,29,287,5.8,
22:01:52,30,287,5.7,
22:02:22,31,287,4.4,
22:02:52,29,287,5.1,
22:03:23,24,287,5.3,
22:03:53,30,287,5.7,
22:04:23,30,287,5.6,
22:04:53,31,287,6.7,
22:05:24,31,287,5.3,
22:05:54,26,287,5.7,
22:06:24,29,287,5.3,
22:06:54,30,287,4.9,
22:07:25,28,287,4.9,
22:07:55,31,287,5.2,
22:08:25,30,287,5.7,
22:08:55,30,287,5.7,
22:09:26,31,287,4.8,
22:09:56,25,287,5.6,
22:10:26,24,287,5.8,
22:10:56,51,287,5.8,
