#{"t_start": 1785328882.897581, "env_id": "Go2Locomotion-v0"}
r,l,t
1503.031621,1000,11.641643
2020.308133,1000,27.601027
1956.734727,1000,43.650764
1487.216363,1000,59.20027
1151.763131,1000,75.035873
1368.401981,1000,90.54413
175.635594,137,102.519474
224.619638,135,102.994106
260.1693,153,103.526582
199.74799,129,103.9427
217.37859,117,104.331533
224.12523,122,104.760915
240.76697,118,105.160777
151.962621,137,115.76741
281.359921,137,116.245231
838.992904,465,117.812532
2178.234758,1000,133.023513
1230.961359,908,148.641351
341.689621,169,149.211599
483.277823,278,162.331833
1059.211421,596,164.336139
1199.975343,1000,179.935862
