#{"t_start": 1785336309.8820415, "env_id": "Go2Locomotion-v0"}
r,l,t
408.495408,1000,21.74764
914.984012,1000,28.150149
929.739637,1000,46.160848
505.831534,1000,52.297446
107.923783,413,62.907285
477.107606,1000,68.987619
276.766986,687,73.168739
722.027739,1000,90.082048
759.414247,1000,96.117234
450.349187,666,111.728132
609.680949,757,116.142512
860.545928,1000,125.656455
770.159043,684,129.657722
311.730223,1000,135.291359
1120.206772,1000,152.432701
942.586781,1000,158.237437
824.367412,695,173.603496
114.802033,426,176.105076
675.138446,621,179.752643
738.83326,1000,197.360101
797.057996,1000,203.209784
303.691304,753,219.04883
536.446355,1000,224.786777
658.835001,635,228.470824
464.527507,770,244.601839
210.596551,1000,250.359938
1202.112807,1000,267.376212
502.968879,1000,273.180509
313.203701,1000,290.313068
207.739885,1000,296.033062
1167.448245,1000,313.252485
659.026011,1000,318.705086
906.951662,1000,335.727687
1326.158073,1000,340.811429
710.043397,1000,357.24941
494.60923,1000,362.078202
605.419743,1000,378.60786
608.849688,1000,383.919996
202.662491,249,385.36921
138.330268,135,386.159765
448.656877,1000,403.204629
879.593616,1000,408.352343
968.788298,1000,424.917852
657.065447,1000,429.648851
306.087409,1000,446.036068
447.834465,1000,450.998022
1258.88505,1000,467.258984
986.622322,1000,472.08345
207.374906,1000,488.520859
1151.707272,1000,493.377536
1276.069901,1000,509.686967
1317.1713,1000,514.509406
400.033749,1000,530.850523
406.468874,1000,535.765047
643.951849,1000,552.274874
974.582611,1000,557.15627
515.330359,1000,573.592242
1300.824077,1000,578.41971
1040.754626,1000,594.810101
911.536051,1000,599.673704
738.323239,1000,616.088878
445.750851,1000,621.032495
275.645772,1000,637.510063
790.508297,1000,642.497553
1217.232694,1000,659.026729
1048.149522,1000,664.073611
1232.725012,1000,680.690334
1277.816086,1000,685.662056
249.54494,1000,702.082519
700.489259,1000,707.178606
255.883257,1000,712.046252
310.907611,1000,728.610225
1083.236955,1000,733.356667
997.064734,1000,749.641524
937.944272,1000,754.391331
1117.048434,1000,770.988227
446.977392,1000,775.953437
939.53575,1000,792.462414
360.973682,1000,797.376858
664.948477,1000,813.792402
942.650556,1000,818.678257
654.29038,1000,835.277156
538.767746,1000,840.49411
1074.56723,1000,857.128852
774.835308,1000,862.256702
1104.491025,1000,878.974307
483.062773,1000,883.743105
1069.312609,1000,900.279679
385.001971,1000,905.283461
1451.043889,1000,921.526133
278.613385,1000,926.365953
452.08873,1000,942.826966
829.519245,1000,947.979328
598.872034,1000,964.718793
426.907051,1000,970.072709
1016.727924,1000,986.987832
396.765216,1000,991.89215
1291.309284,1000,1008.290956
1093.306739,1000,1013.178027
355.697923,1000,1029.69913
1266.400017,1000,1034.580669
441.369908,1000,1051.256137
844.688103,1000,1056.250954
1001.273198,1000,1072.858883
754.276989,1000,1077.914029
325.320838,1000,1094.481315
421.240738,1000,1099.37263
994.099423,1000,1115.937838
561.684093,1000,1121.068471
340.63317,948,1125.673951
491.076136,1000,1142.279879
289.068607,1000,1147.228236
507.468853,1000,1163.619769
449.867086,1000,1168.322388
843.578204,1000,1184.551155
943.540514,1000,1189.255211
753.321529,1000,1205.685493
833.012448,1000,1210.604622
422.168752,1000,1226.886179
408.537751,1000,1231.828978
1141.545073,1000,1248.178387
674.729014,1000,1252.938777
1227.524252,1000,1269.190606
506.184157,1000,1273.9563
948.493646,1000,1290.106408
434.629257,1000,1294.893794
418.968579,1000,1311.669201
504.442957,1000,1317.046813
896.095768,1000,1333.973955
405.713326,1000,1339.265832
1111.637736,1000,1355.722591
1145.420511,1000,1360.571013
930.052749,1000,1376.828065
271.82444,1000,1381.790059
292.30688,1000,1398.184188
1013.965697,1000,1402.889328
675.964321,1000,1419.213522
290.997622,1000,1424.542023
437.464411,1000,1441.011651
550.962411,1000,1446.060205
259.511816,1000,1462.67728
764.82983,1000,1467.964514
490.714134,1000,1484.591755
529.502114,1000,1489.529117
