#{"t_start": 1785403729.393392, "env_id": "Go2Locomotion-v0"}
r,l,t
-145.183328,725,21.241212
-111.879147,82,21.725317
-265.642158,232,23.186638
-19.129255,99,23.778744
12.75819,115,24.50811
-9.647032,75,24.964527
-11.998145,80,25.446653
14.931511,51,25.772787
6.764298,50,26.071562
0.590896,51,26.406834
1.56549,60,26.776819
-9.787762,45,27.069555
-10.658085,40,27.306691
-5.318164,58,27.677683
-29.702779,59,28.114881
-31.933104,87,28.639189
-38.92825,68,29.057024
-17.094293,60,29.406889
-32.107142,79,30.458307
-5.458651,46,30.709007
-9.955906,70,31.133595
-4.87098,70,31.579778
1.453112,46,31.880941
-7.790322,58,32.252885
-11.70322,56,32.621365
-1.744816,59,32.983401
-4.636514,48,33.301518
-18.767674,68,33.744328
-47.24035,47,34.005661
7.642666,55,34.361838
29.796973,62,34.755021
4.649988,67,35.166926
7.950719,84,35.722717
4.381087,51,36.018048
6.406191,58,36.378541
13.995105,76,36.866302
-1.380774,53,37.159414
8.73329,100,37.799191
-0.814433,85,38.296561
-6.558627,64,38.701006
-62.353297,87,39.243672
39.643016,87,39.78082
3.545685,41,40.05607
30.075738,75,40.534299
12.950938,67,40.953931
-22.201045,91,41.506328
-3.173446,73,41.951196
10.064529,56,42.309575
-3.50437,99,46.316
8.594949,64,46.719338
-21.153748,73,47.1667
13.401855,80,47.669565
-3.20295,59,48.037755
8.572587,63,48.430607
-19.733722,68,48.85536
4.999048,61,49.230787
9.328306,93,49.816143
21.236349,127,50.61277
11.854548,80,51.088823
-6.307602,86,51.593387
-20.284912,37,51.839101
-115.404933,62,52.191901
-10.101668,88,52.698971
-13.417131,71,53.116352
-0.946922,76,53.575585
12.455574,60,53.963532
24.839074,67,54.361797
3.913827,62,54.740055
-7.189198,62,55.135137
22.265014,86,55.690969
13.047977,107,56.340876
-10.022385,78,56.846358
0.001454,48,57.121693
-15.194236,77,57.57578
31.424427,137,58.443426
31.65481,226,62.924641
15.761408,81,63.424212
23.704743,149,64.335814
17.987374,88,64.847569
36.873307,116,65.578875
47.91442,152,66.504939
1.390795,133,67.331821
34.869106,107,67.994333
51.050306,323,69.985241
23.965003,158,70.960751
31.589427,146,71.835859
19.146977,144,72.708558
-14.683292,126,73.513534
56.945091,280,81.922135
1.128361,299,83.756767
21.634484,216,85.088492
-30.913415,88,85.64589
37.120278,245,87.104784
55.486124,186,88.231805
24.291648,153,89.134846
33.596792,249,90.61127
34.693775,218,91.966566
-23.183055,411,100.144296
-23.210417,179,101.168489
-48.175932,140,102.02017
-18.32104,106,102.640797
65.594689,250,104.115006
19.408717,121,104.807721
25.313961,193,105.954261
34.256185,254,107.513463
-109.127663,288,109.21307
13.511793,180,110.247637
10.181907,78,110.715608
40.473277,334,119.615267
49.103053,355,121.651781
60.291864,464,124.28985
-29.902156,61,124.623559
-16.651273,85,125.090451
94.871985,537,128.036278
18.707763,269,129.495343
-66.380495,264,139.941729
46.285492,218,141.167635
25.245171,208,142.327206
-56.197961,289,143.895277
42.11743,338,145.683628
72.105434,843,158.881021
13.352792,96,159.410391
39.818454,507,162.077843
80.621177,1000,167.264118
108.043569,1000,182.370024
73.344638,990,187.383206
102.621789,1000,202.25123
46.504814,188,203.214929
16.592027,87,203.639679
53.059928,1000,208.683447
95.965248,1000,222.800139
29.344743,555,225.551297
84.047282,1000,237.426026
21.886494,378,239.676567
25.228952,184,240.659106
76.675008,681,244.270874
82.593931,833,256.165343
-15.731735,155,256.986428
55.653011,583,259.955641
40.390372,541,262.693064
49.567862,444,265.002525
179.415747,782,278.352215
48.061548,608,281.595001
84.626912,730,295.427644
38.286539,641,298.778977
8.573585,80,299.17257
22.773772,147,299.919425
66.58246,554,302.691454
41.131888,427,304.869864
97.074565,1000,319.871932
49.38672,281,321.374793
-54.65586,136,322.094239
96.686357,1000,335.185331
21.314598,84,335.613968
-59.133167,149,336.38192
