number,state,value,params
0,COMPLETE,165.81806163333331,"{""ppo.batch_size"": 256, ""ppo.clip_range"": 0.2901428612819832, ""ppo.ent_coef"": 0.0002434877353455459, ""ppo.gae_lambda"": 0.9658794547630265, ""ppo.gamma"": 0.991913303835521, ""ppo.learning_rate"": 0.00023688639503640813, ""ppo.n_epochs"": 6}"
1,PRUNED,-31.0466349,"{""ppo.batch_size"": 256, ""ppo.clip_range"": 0.26648852816008434, ""ppo.ent_coef"": 0.0002846526357761096, ""ppo.gae_lambda"": 0.9191105199610449, ""ppo.gamma"": 0.9836183168474213, ""ppo.learning_rate"": 0.0009330606024425672, ""ppo.n_epochs"": 4}"
2,PRUNED,-6.6519035333333365,"{""ppo.batch_size"": 128, ""ppo.clip_range"": 0.17327236865873835, ""ppo.ent_coef"": 0.0003123317753376433, ""ppo.gae_lambda"": 0.9410462985795333, ""ppo.gamma"": 0.995625001631721, ""ppo.learning_rate"": 0.00019594972058679176, ""ppo.n_epochs"": 4}"
3,PRUNED,184.61343060000002,"{""ppo.batch_size"": 512, ""ppo.clip_range"": 0.29312640661491185, ""ppo.ent_coef"": 0.000174560376357974, ""ppo.gae_lambda"": 0.9727557613304815, ""ppo.gamma"": 0.98606181400655, ""ppo.learning_rate"": 0.000888966790701893, ""ppo.n_epochs"": 3}"
4,PRUNED,-53.94938053333334,"{""ppo.batch_size"": 128, ""ppo.clip_range"": 0.23250445687079638, ""ppo.ent_coef"": 0.0022608286763734953, ""ppo.gae_lambda"": 0.928053996848047, ""ppo.gamma"": 0.9903493536214384, ""ppo.learning_rate"": 0.00018145961353490273, ""ppo.n_epochs"": 4}"
5,PRUNED,-52.587587066666664,"{""ppo.batch_size"": 512, ""ppo.clip_range"": 0.1176985004103839, ""ppo.ent_coef"": 0.0006395620370993673, ""ppo.gae_lambda"": 0.9176384576177231, ""ppo.gamma"": 0.9809000230493197, ""ppo.learning_rate"": 0.0008353610755311764, ""ppo.n_epochs"": 6}"
6,PRUNED,-261.0347647333333,"{""ppo.batch_size"": 512, ""ppo.clip_range"": 0.2604393961508079, ""ppo.ent_coef"": 0.00818359129810136, ""ppo.gae_lambda"": 0.9067095579311794, ""ppo.gamma"": 0.9996390500383503, ""ppo.learning_rate"": 0.00013833249975219982, ""ppo.n_epochs"": 6}"
7,PRUNED,-203.62346986666668,"{""ppo.batch_size"": 256, ""ppo.clip_range"": 0.17169314570885452, ""ppo.ent_coef"": 0.0034993311117088514, ""ppo.gae_lambda"": 0.9104282153572617, ""ppo.gamma"": 0.9971757581749243, ""ppo.learning_rate"": 0.00011858906685575279, ""ppo.n_epochs"": 3}"
8,PRUNED,-57.98199593333334,"{""ppo.batch_size"": 256, ""ppo.clip_range"": 0.10119943659116344, ""ppo.ent_coef"": 0.024130180281955543, ""ppo.gae_lambda"": 0.987258339970908, ""ppo.gamma"": 0.9910516937204497, ""ppo.learning_rate"": 0.000366325043157894, ""ppo.n_epochs"": 6}"
9,COMPLETE,257.308218,"{""ppo.batch_size"": 256, ""ppo.clip_range"": 0.20174469691431743, ""ppo.ent_coef"": 0.0010203422644584391, ""ppo.gae_lambda"": 0.9561222174797129, ""ppo.gamma"": 0.9917504463229152, ""ppo.learning_rate"": 0.00042080755385483774, ""ppo.n_epochs"": 6}"
10,COMPLETE,241.02869123333332,"{""ppo.batch_size"": 256, ""ppo.clip_range"": 0.2064246335139772, ""ppo.ent_coef"": 0.000994054982920296, ""ppo.gae_lambda"": 0.9485241378189178, ""ppo.gamma"": 0.9888178974602313, ""ppo.learning_rate"": 0.00047326700037685337, ""ppo.n_epochs"": 6}"
11,PRUNED,203.93972943333333,"{""ppo.batch_size"": 256, ""ppo.clip_range"": 0.20302627670268514, ""ppo.ent_coef"": 0.0011156032326330692, ""ppo.gae_lambda"": 0.9477806738673321, ""ppo.gamma"": 0.986917905266882, ""ppo.learning_rate"": 0.0004708780724439704, ""ppo.n_epochs"": 6}"
12,COMPLETE,251.64216883333336,"{""ppo.batch_size"": 256, ""ppo.clip_range"": 0.20237382299244017, ""ppo.ent_coef"": 0.0009167409716741412, ""ppo.gae_lambda"": 0.9507933011414758, ""ppo.gamma"": 0.9882967997057173, ""ppo.learning_rate"": 0.00044772959593045115, ""ppo.n_epochs"": 6}"
13,COMPLETE,261.4814071,"{""ppo.batch_size"": 256, ""ppo.clip_range"": 0.16618256836136297, ""ppo.ent_coef"": 0.0028798917210919902, ""ppo.gae_lambda"": 0.960996725219002, ""ppo.gamma"": 0.9942325439917237, ""ppo.learning_rate"": 0.0003906321708372134, ""ppo.n_epochs"": 6}"
14,PRUNED,-27.494396433333332,"{""ppo.batch_size"": 256, ""ppo.clip_range"": 0.1459659386374334, ""ppo.ent_coef"": 0.004357978309708971, ""ppo.gae_lambda"": 0.9651656507444513, ""ppo.gamma"": 0.9944276272240988, ""ppo.learning_rate"": 0.00030571038796447245, ""ppo.n_epochs"": 6}"
15,PRUNED,-30.0299797,"{""ppo.batch_size"": 128, ""ppo.clip_range"": 0.15877447682385776, ""ppo.ent_coef"": 0.013573531590535627, ""ppo.gae_lambda"": 0.9794355949338157, ""ppo.gamma"": 0.9933784606851153, ""ppo.learning_rate"": 0.0006167479643061885, ""ppo.n_epochs"": 3}"
16,PRUNED,-91.83084486666667,"{""ppo.batch_size"": 256, ""ppo.clip_range"": 0.13127787314626785, ""ppo.ent_coef"": 0.002353997837621142, ""ppo.gae_lambda"": 0.9594539321245612, ""ppo.gamma"": 0.9976667119696392, ""ppo.learning_rate"": 0.00028818494005348734, ""ppo.n_epochs"": 6}"
17,PRUNED,147.15764806666667,"{""ppo.batch_size"": 256, ""ppo.clip_range"": 0.22961374247055324, ""ppo.ent_coef"": 0.0005306014385658016, ""ppo.gae_lambda"": 0.9319025285542856, ""ppo.gamma"": 0.9927711889256997, ""ppo.learning_rate"": 0.0003702536568331451, ""ppo.n_epochs"": 6}"
18,COMPLETE,267.46286779999997,"{""ppo.batch_size"": 128, ""ppo.clip_range"": 0.18304651285121024, ""ppo.ent_coef"": 0.006794622549417827, ""ppo.gae_lambda"": 0.9587954187640907, ""ppo.gamma"": 0.9958377684616821, ""ppo.learning_rate"": 0.000638023372295865, ""ppo.n_epochs"": 4}"
19,COMPLETE,266.8896253666667,"{""ppo.batch_size"": 128, ""ppo.clip_range"": 0.16768709338807072, ""ppo.ent_coef"": 0.007582155047648994, ""ppo.gae_lambda"": 0.9756757875766073, ""ppo.gamma"": 0.9962885269081898, ""ppo.learning_rate"": 0.00067122374408581, ""ppo.n_epochs"": 4}"
