#{"t_start": 1785248625.6767328, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-69.748714,85,1.182394
-92.178831,93,1.193511
-310.369787,89,1.204217
-110.687151,109,1.217576
-126.117619,104,1.231353
-108.555805,105,1.243752
-122.890164,84,1.253519
-348.583333,162,1.272173
-373.027006,132,1.287919
-214.540734,119,1.301736
-85.299846,72,1.310523
-101.088867,68,1.318622
-108.297161,114,1.332168
-339.400521,160,1.350743
-108.218864,87,1.361178
-326.364745,138,1.377038
-130.505173,67,1.385379
-283.588435,102,1.397264
-86.705682,144,1.413694
-421.087763,109,1.426425
-501.767714,116,1.440579
-263.296625,137,1.456428
-191.444263,129,1.471493
-192.256049,101,1.483598
-286.235594,102,1.495967
-166.445745,125,1.510472
-411.036231,83,1.520304
-283.734633,127,1.535795
-432.310719,163,1.55505
-79.809945,89,1.565701
-63.052419,88,1.576137
-284.99564,138,1.592342
-60.290122,123,1.607154
-32.592609,166,1.626446
-319.568054,119,1.640511
-119.025521,100,1.652151
-282.011583,124,1.666905
-282.035157,158,1.685287
-90.36347,124,1.699751
-72.710089,147,1.716865
-340.766286,128,1.732136
-170.746574,127,1.746974
-423.842244,93,1.757946
-179.595453,108,1.770489
-145.182669,144,1.787597
-112.072931,85,1.797574
-256.477775,98,1.809142
-114.162702,98,1.820732
-88.743584,95,1.832452
-89.982254,133,1.84789
-229.825903,94,1.859226
-106.389382,140,1.875586
-449.133987,82,1.885344
-75.633544,73,1.893894
-222.184665,145,1.910664
-180.77646,82,1.920212
-429.274835,94,1.931513
-495.107063,118,1.945344
-101.932883,104,1.957642
-218.776511,63,1.965107
-361.639139,98,1.976833
-335.180655,96,1.988193
-178.941725,102,2.000311
-433.115109,98,2.011764
-248.363346,72,2.020948
-483.604225,103,2.033275
-123.626204,107,2.045735
-106.618721,157,2.063984
-79.777,70,2.072737
-130.549007,188,2.094412
-258.306044,98,2.105734
-314.208389,99,2.117789
-80.079463,145,2.135101
-132.597682,76,2.144017
-90.901847,110,2.156694
-31.900402,69,2.164955
-350.327088,121,2.179639
-79.557014,112,2.192526
-254.943738,107,2.204969
-480.824097,114,2.218239
-112.643637,126,2.233315
-200.827438,167,2.253402
-126.747925,94,2.265078
-91.853554,122,2.279241
-277.266682,87,2.290075
-112.482648,101,2.301843
-75.421498,112,2.315015
-205.243563,104,2.326964
-229.240424,86,2.337577
-95.382613,69,2.345705
-317.87654,87,2.885775
-163.229302,90,3.32337
-238.377472,110,3.855077
-366.986399,137,4.517654
-190.70422,117,5.080997
-256.109933,201,6.055457
-6.869242,205,7.054103
-38.486175,416,9.062787
-36.613512,1000,13.881701
-34.98537,538,16.500102
-225.018733,1000,21.331704
-173.902741,1000,26.154138
-116.187673,473,28.436008
-263.354384,821,32.222221
-1.853111,1000,36.390696
-143.028391,509,38.511355
-210.151393,886,42.20139
-135.450443,431,43.996687
-104.331425,1000,48.158527
43.381561,1000,55.549971
-52.211899,1000,59.730697
-60.856017,1000,63.907778
15.829658,1000,68.083353
-6.944892,1000,72.256201
-10.630948,1000,76.441643
-9.61617,1000,80.635581
-246.221258,972,84.700491
-67.439376,371,86.249703
26.70852,255,87.312927
-190.404361,474,89.296264
2.881348,1000,95.405804
-195.511355,380,96.991712
178.632238,324,98.343339
-52.84796,1000,102.517107
-140.785353,354,103.995729
-270.967534,314,105.310032
-137.266123,451,107.191182
-307.019682,876,110.845421
33.272999,149,111.471712
-224.668789,162,112.151517
27.360952,129,112.692377
201.642685,418,114.435219
19.411592,125,114.974436
-70.40597,1000,119.19166
-45.574333,1000,123.3642
-15.145767,1000,127.541814
30.225178,118,128.033699
-31.769128,1000,132.216484
198.414275,737,135.292517
-27.739426,1000,142.04529
208.700055,621,144.64307
-33.645118,1000,148.818379
-19.523199,1000,152.997299
302.170385,225,153.939736
230.416022,426,155.721274
-18.902955,1000,159.891182
224.200367,563,162.243844
211.287559,544,164.509711
240.944438,548,166.808262
12.639922,138,167.384071
251.078911,411,169.096
11.45974,101,169.517198
-41.619149,119,170.016545
21.829371,105,170.455245
271.655711,316,171.776512
10.831788,95,172.173083
-47.254428,248,173.213678
3.528111,143,173.809411
-9.863137,154,174.455726
-27.043857,132,175.006081
-147.195865,140,175.592695
-169.962271,288,176.798319
-84.961123,74,177.108927
-41.469395,180,177.959176
-91.290658,151,178.697288
-81.112296,116,179.257624
-30.028584,1000,184.934814
3.075915,77,185.307422
-100.733376,215,186.354671
-249.16478,371,188.158392
-72.735784,177,189.016709
-28.60193,184,189.906554
246.407057,294,191.297396
-166.11086,192,192.108865
-130.082544,235,193.087955
268.755937,381,194.671104
-324.338862,444,196.521765
-27.625232,201,197.361894
-0.776251,205,198.217456
-2.291971,129,198.755624
-54.714264,256,199.821166
-11.911934,276,200.970695
-52.069152,250,202.009745
50.661248,1000,206.18431
-178.274788,190,206.975827
149.827244,837,210.472585
165.680741,410,212.187807
-75.046411,316,213.509437
-180.017318,208,214.376591
-316.400031,648,217.093896
-421.45442,329,218.472501
302.246252,351,219.93864
297.096453,426,221.729578
-120.785685,176,222.466806
252.747963,377,224.046971
-141.260897,286,225.308745
237.450373,490,228.801751
288.540631,248,229.838465
-209.931839,379,231.417785
92.710092,629,234.043692
249.8806,436,235.862467
-61.80053,581,238.367906
207.961816,735,241.49242
195.929873,318,242.809767
-80.596071,318,244.134445
-295.344465,510,246.26482
203.12994,549,248.552521
200.961064,425,250.330866
228.370839,397,251.993918
213.429139,361,253.505494
190.32637,437,255.338815
283.079064,187,256.120436
-246.965065,552,258.426018
240.821287,407,260.122042
225.913787,346,261.568275
260.219641,290,262.778733
184.612419,822,266.222903
223.547525,508,268.342506
267.847972,295,271.355944
217.939694,444,273.250901
303.701303,214,274.142897
242.913748,371,275.694028
154.038597,858,279.304729
247.180665,404,280.993929
214.180574,534,283.234245
276.498746,356,284.879077
278.657107,285,286.160458
282.239082,196,286.980297
200.384349,536,289.302692
210.07912,374,290.888237
223.934659,354,292.366983
298.720329,199,293.197462
276.228818,266,294.318729
274.315451,357,295.814346
271.346444,246,296.844041
258.584105,320,298.209157
241.535774,493,300.386069
225.260709,299,301.671569
222.117169,295,302.90319
288.23923,210,303.775584
-72.303262,614,306.349986
241.621336,246,307.377271
268.779478,252,308.430135
-261.749727,328,309.796482
239.944788,219,310.712107
269.341233,261,311.804329
238.412208,215,312.706104
279.508402,295,315.035752
245.248626,305,316.312852
239.942135,305,317.593596
254.417629,287,318.797277
269.085803,227,319.74857
-266.913493,474,321.739102
264.88408,268,322.871761
275.303527,253,323.925937
268.996558,326,325.290937
239.518085,253,326.350177
268.725642,290,327.566181
298.728505,259,328.646779
242.142228,251,329.696193
264.90671,347,331.152703
260.669628,202,332.004196
286.0773,246,333.03898
259.162814,272,334.177544
290.23598,265,335.284363
231.257578,266,336.400829
230.125309,259,337.484748
275.065828,260,338.571423
255.7078,263,339.672069
250.098761,263,340.771676
285.479285,335,342.168865
270.165277,310,343.463275
290.94865,345,344.900154
221.993356,259,345.975992
252.237932,322,347.32662
236.547261,255,348.396855
34.006204,155,349.042099
280.487086,194,349.851628
290.852337,244,351.002696
265.156897,324,352.576661
274.654831,421,354.621246
236.136789,339,356.266952
-305.488993,530,359.838731
293.668933,291,361.251404
-14.060749,1000,365.634308
287.280114,446,367.496884
269.291329,223,368.563416
-209.448263,267,369.856752
277.090548,260,371.11134
281.352182,265,372.3917
-239.190333,399,374.336162
263.492286,241,375.499243
258.50799,271,376.828419
261.079333,281,378.19178
281.839316,232,379.308186
253.175287,165,380.101753
254.841109,473,382.392075
227.654243,297,383.827893
227.846684,548,386.495963
-53.660693,168,387.306079
-282.144541,295,388.733748
255.976717,181,389.61134
278.159002,242,390.791638
275.908328,188,391.702019
29.268244,100,392.181834
15.294996,125,392.782937
246.848701,209,393.796986
293.91425,228,394.896231
-206.145263,386,396.767573
289.075362,277,398.115075
-228.911779,239,399.277929
265.830763,184,400.16989
249.272426,549,402.818676
263.75717,208,403.751168
245.461192,526,407.33496
280.525026,177,408.073205
270.719713,198,408.972612
271.141349,476,410.961119
298.582369,189,411.751764
281.533192,216,412.658984
