#{"t_start": 1785286200.1097841, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-216.183741,104,1.127785
-196.642751,96,1.201499
-257.318454,100,1.275158
-84.707483,141,1.38047
-404.145876,125,1.468285
-38.918674,73,1.518792
-501.681565,109,1.596392
-131.125712,132,1.689582
-267.305803,128,1.770605
-68.795911,81,1.823916
-434.968163,94,1.885783
-142.300005,98,3.557789
-12.654027,103,7.305781
-43.16818,1000,44.473336
-476.275935,335,57.578449
-137.076335,1000,92.631267
-392.282186,214,101.228805
-50.646886,1000,137.268568
-301.124338,936,171.912644
-292.469454,732,201.420131
-153.284827,760,229.383032
-183.690671,584,253.267395
-159.648394,826,283.43978
-78.552885,1000,320.339079
-7.888163,1000,360.995126
133.086231,972,397.617805
-61.214588,1000,437.068159
-45.526486,1000,474.482971
-84.865564,1000,516.377979
154.10782,889,555.087885
248.458542,572,578.044306
-40.61053,1000,616.310151
-92.557332,84,619.218228
263.747774,328,632.052121
-31.858444,110,636.009526
54.471192,236,644.271567
-121.744924,244,652.926424
-29.43069,133,657.600838
-148.005361,90,660.618729
8.041399,95,663.779315
-138.043963,109,667.567837
-93.328424,93,670.752168
-106.085737,124,675.690325
-50.957215,1000,710.381495
-113.376623,333,723.844759
-62.469562,137,728.579894
-221.590136,189,735.369787
7.410606,1000,773.630107
110.579067,994,811.936354
258.926024,366,825.62393
-7.883838,112,829.848425
-177.218734,543,850.235127
-1.620336,205,857.963192
-419.966673,866,890.780455
-146.676325,375,903.887145
249.640846,359,917.87511
251.303165,361,930.817234
249.534047,357,943.739068
-27.482012,174,949.986757
220.44062,368,964.696994
226.857834,364,978.39913
241.121995,371,992.513057
-260.478204,521,1013.3682
265.923038,329,1024.653083
231.876279,292,1035.353858
249.090583,334,1049.374678
186.857941,793,1078.542131
237.344182,289,1089.447977
277.865363,321,1103.270207
267.020078,242,1112.3265
233.780448,278,1122.352202
209.179343,229,1130.210351
226.36546,441,1147.506866
-201.139058,90,1150.828446
197.149952,611,1173.686334
298.819581,391,1188.467403
274.560832,266,1200.105297
256.194093,270,1210.361819
224.477105,276,1220.819707
244.997576,235,1229.698012
239.172336,399,1246.780973
-69.505828,109,1250.916073
-102.76801,112,1255.21959
-165.089336,100,1259.026216
296.870539,240,1267.91144
233.679988,282,1278.142912
226.618164,277,1289.665482
233.927033,287,1300.454517
251.460534,297,1311.243137
257.710105,282,1321.047198
251.323839,287,1331.407006
256.058922,456,1349.671682
278.792155,285,1360.338666
243.736824,397,1375.317576
240.802821,485,1394.558785
298.207011,249,1403.799026
256.729734,425,1419.446893
264.500447,330,1433.122655
246.082382,287,1443.802141
269.914525,322,1455.932353
275.018464,228,1464.413138
262.37798,244,1473.078833
276.858097,311,1485.064917
247.611801,252,1493.783261
249.234185,252,1502.888034
291.565769,239,1511.804723
-74.444206,109,1515.961303
291.623546,313,1529.121267
270.195938,231,1537.853878
253.154078,313,1549.506323
234.128725,242,1558.693013
228.236137,261,1568.483609
270.307262,386,1583.234514
273.639308,340,1595.204766
267.233678,261,1604.512474
287.324591,297,1615.349427
282.555443,281,1626.838726
284.767582,284,1637.438773
230.929644,275,1647.715859
273.726448,274,1657.790979
248.327029,319,1670.666571
259.640801,263,1680.367231
304.880787,299,1691.540204
274.861571,247,1700.80678
271.359362,213,1708.879912
254.452551,284,1720.465388
251.835468,276,1730.76768
274.413256,223,1739.186462
259.343381,280,1749.753876
271.491208,332,1763.014803
295.453232,341,1775.590557
291.914719,189,1782.103687
234.633533,225,1789.876381
259.040103,240,1798.388853
298.136946,294,1809.375054
41.706397,1000,1843.558424
276.557993,239,1853.4636
271.06544,233,1861.700023
268.722073,248,1870.584297
241.613899,227,1878.988476
264.878026,245,1887.396572
241.853107,273,1897.622118
162.119362,736,1923.216187
244.42736,219,1930.802076
282.055695,239,1940.191666
272.448607,246,1948.653468
279.636054,330,1960.541553
278.539983,256,1970.10762
247.871988,247,1979.414926
264.915892,265,1991.424646
230.457578,251,2001.409464
248.712415,242,2010.676681
13.596227,1000,2049.048565
71.94951,1000,2087.182814
243.646385,184,2093.933887
282.165807,193,2100.984941
273.682502,180,2107.602366
-0.18708,1000,2145.624747
268.575937,218,2153.691515
246.843904,260,2163.358526
254.968956,212,2171.177857
178.92025,903,2205.061999
276.186978,268,2215.252697
248.527179,211,2223.52824
277.906038,195,2231.857323
274.834901,226,2240.25652
-16.619789,109,2243.963133
257.160204,242,2252.405178
253.159381,373,2265.553924
273.009551,290,2276.590256
264.975776,272,2286.149769
273.048791,261,2295.276391
277.6638,207,2302.342344
248.086762,206,2310.199705
