#{"t_start": 1785250838.0465987, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-101.290241,128,1.770721
-45.428372,94,1.892893
-266.375118,105,2.029619
-74.726612,105,2.161174
-152.067504,80,2.254331
-228.428034,84,2.350719
-278.008184,118,2.484124
-134.821142,66,2.555819
-333.905002,126,2.714259
-167.806538,120,4.876173
-193.081561,189,5.127962
-59.215458,108,5.27963
-80.859281,82,5.39131
-483.22374,111,5.541382
-100.656537,93,5.665113
-94.61477,137,5.846431
-134.076136,202,6.122246
-106.960319,82,6.232848
-76.854349,93,8.538153
-127.5053,126,8.716301
-106.326906,113,8.870342
-216.272659,122,9.035855
-109.462504,97,9.161605
-158.356212,178,9.389858
-151.47166,138,9.590546
-186.009846,122,9.763995
-76.246239,84,11.907009
-104.151856,115,12.068729
-96.15311,190,12.326034
-316.658363,234,12.644869
-74.354921,204,12.921219
-138.829842,127,13.101276
-110.313283,149,15.561515
-28.891467,118,15.719371
-77.168623,110,15.873096
-52.454545,95,15.998668
-86.443797,171,16.225039
-122.360194,126,16.387832
-99.689239,152,16.586036
-83.663395,136,16.770926
-25.303661,221,19.110821
-69.766737,108,19.255517
-62.332815,170,19.484274
-100.899775,107,19.622763
-119.529778,121,19.785843
-104.916894,201,20.066769
-73.506767,79,20.175753
-57.782218,177,22.653743
-26.914963,154,22.858403
23.371439,108,22.999173
-65.346271,85,23.116054
11.071853,192,23.373199
-1.529352,117,23.524298
-63.592705,124,23.695057
-19.681683,106,23.842939
28.542353,116,26.067998
-19.036606,91,26.198745
-14.305013,117,26.361491
-31.531189,199,26.646447
-29.129214,124,26.815301
-187.346258,381,27.333669
16.309422,196,29.951127
-18.67075,1000,33.331715
-29.007714,106,33.478009
11.727288,220,33.78279
-57.45046,131,33.960378
29.450201,112,34.112751
-57.150802,169,34.349687
12.90029,151,34.556622
33.534824,135,37.126216
-43.95513,1000,40.605406
49.799364,167,40.833335
3.859692,150,41.03994
12.122303,197,41.304196
65.235396,1000,45.195754
5.469886,1000,48.552523
5.275511,222,48.830001
19.205621,142,49.038626
37.154911,142,51.768752
86.791819,1000,55.181548
17.55979,159,55.412201
32.350649,197,55.678455
61.374738,139,55.867478
43.593553,140,56.055676
119.627526,1000,59.95156
-4.53919,178,60.200936
-19.184099,172,60.43461
105.893538,1000,63.860687
121.157763,1000,67.769757
4.889094,1000,71.181414
48.096958,134,73.846723
36.960739,180,74.094404
85.420246,1000,77.504017
74.45513,1000,81.541996
56.353611,1000,84.905987
85.153092,1000,88.775521
106.171387,1000,92.129016
154.583522,1000,96.043315
60.637875,1000,99.362721
140.761711,1000,100.71696
112.378212,1000,104.644863
43.008358,174,106.908247
2.916254,187,107.172431
144.99358,1000,111.015604
48.109069,197,111.289702
98.825814,1000,114.636743
57.185209,188,114.891117
139.276992,1000,118.675345
60.066252,157,118.876573
164.610647,1000,122.270611
178.303153,1000,126.126084
123.708026,1000,129.51582
136.609131,1000,133.330034
162.90152,1000,136.633006
133.36279,1000,140.359024
15.447109,164,140.541908
133.747511,1000,143.94569
51.187534,177,144.19763
170.215231,1000,147.936047
179.284662,1000,151.317615
44.527326,182,154.013518
137.220722,1000,157.320161
145.900659,1000,161.218205
192.968418,1000,164.586655
170.233777,1000,165.98753
32.896957,197,168.718837
175.831262,1000,172.097081
164.58668,1000,175.927349
123.409319,1000,179.32815
54.893162,175,179.569253
174.366234,1000,183.382919
141.336172,1000,186.749968
139.720147,1000,190.52359
117.284754,1000,193.940451
170.28249,1000,197.828451
18.962777,179,198.072657
134.604483,1000,201.434277
4.787215,161,201.657078
69.623881,163,201.890141
131.182786,1000,205.771618
119.191281,1000,209.147305
150.340128,1000,213.00056
136.924772,1000,216.461284
180.126653,1000,220.260378
158.002784,1000,223.617624
166.201821,1000,227.53888
125.956527,1000,231.014523
