#{"t_start": 1785252109.990582, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-43.474924,80,1.223771
-224.662984,89,1.361254
-371.33592,139,1.579752
-44.418938,73,1.707824
-228.135073,93,1.857925
-419.078173,105,2.006909
-499.719323,183,2.289108
-71.686,152,2.527462
-280.959458,89,2.653149
-86.087482,146,4.903674
-60.564393,84,5.044842
-71.793706,96,5.210716
-79.898715,122,5.418952
-360.655187,178,5.72072
-96.743113,97,5.902074
-62.518332,80,6.044848
-516.210913,155,6.323358
-73.680658,97,8.56975
-117.87899,114,8.778361
-125.504792,126,9.013989
-209.667504,91,9.182629
-74.134966,98,9.365733
-182.589606,114,9.575915
-70.608828,121,9.802511
-112.275413,81,9.957151
-497.133125,203,10.331868
-49.172806,102,12.361772
-116.470609,113,12.581321
-153.209057,118,12.80162
-92.677769,146,13.061254
53.148464,1000,16.956847
-194.217963,166,17.227249
-82.289857,152,17.506402
-27.400534,94,17.67878
-81.148798,198,18.03564
-111.531278,100,20.12579
-90.679494,82,20.275334
-35.042696,99,20.458245
-88.664805,82,20.608719
-84.935634,145,20.882519
-182.832985,149,21.155746
-90.863194,121,21.369816
-79.158993,99,21.542423
-143.846021,80,21.68226
-91.000524,81,21.831812
-118.049947,152,24.293618
-87.122675,114,24.497166
-41.747176,109,24.691471
-77.632007,104,24.880733
-147.841503,96,25.050881
-93.582168,100,25.227735
-31.91746,102,25.412014
-54.946485,100,25.593817
-17.263382,90,25.751246
-43.431429,154,27.830782
-64.496532,135,28.077596
-59.164231,205,28.461072
11.178324,139,28.720142
-36.994234,92,28.890126
8.646862,184,29.23786
-97.37585,126,29.468293
-33.581412,79,32.153821
-51.464701,140,32.417431
-77.762606,247,32.872404
-29.178462,167,33.153961
-8.337213,154,33.436516
18.753823,93,33.607
-6.802374,105,33.799589
-52.602663,124,35.736498
-68.766354,110,35.937406
16.082443,142,36.191583
-49.383774,115,36.402121
-38.093336,141,36.649791
-36.309195,183,36.973118
-23.339702,123,37.181406
-30.782752,146,37.44941
3.998682,148,40.200477
-122.505815,693,41.439916
-33.200576,158,41.735772
28.485085,142,43.697999
-9.743735,122,43.925311
2.017789,165,44.220445
-166.872629,539,45.215317
21.212369,154,48.151698
46.449527,116,48.376127
2.701554,143,48.637982
8.57895,175,48.939971
-7.957758,176,49.269615
35.686426,161,49.57064
65.457872,142,49.816142
29.537301,133,51.836115
-137.100719,278,52.345598
46.086788,215,52.711112
35.497177,182,53.059834
-20.626061,150,53.326529
16.284519,108,53.519907
16.844418,152,56.948579
-9.810335,164,57.251127
6.761279,1000,60.727859
-17.239568,149,60.992446
80.402257,1000,65.44457
47.092696,168,65.735598
22.684794,217,66.151727
49.963312,204,66.531348
27.158014,241,68.743994
21.855188,233,69.161471
45.880074,197,69.507878
7.435112,188,69.859669
37.318148,160,70.153907
75.257287,1000,75.156941
112.527345,1000,78.562349
67.599665,1000,83.123566
90.20211,1000,86.766873
92.422917,1000,91.677906
118.358863,1000,95.331006
83.226401,1000,100.187247
117.733784,1000,103.86477
71.763303,291,107.348568
87.390451,1000,111.05666
151.000275,1000,112.887806
32.5982,184,116.101853
145.029408,1000,119.82272
109.367849,1000,124.456892
26.581652,254,124.920061
138.741746,1000,128.603627
133.17975,1000,133.283298
135.840315,1000,136.941585
161.901195,1000,141.663418
78.021834,197,142.015928
159.592985,1000,145.562596
143.318841,1000,149.925304
159.900225,1000,153.444831
140.60799,1000,158.038657
141.668083,1000,161.703031
176.592186,1000,166.293982
174.456425,1000,169.962983
130.004678,1000,174.491817
149.259726,1000,177.986751
169.899216,1000,182.391963
166.583702,1000,186.084951
148.506023,1000,190.410843
112.30129,1000,193.969936
133.821311,1000,198.271636
177.878369,1000,201.613018
138.17506,1000,206.100565
162.122382,1000,209.725166
193.639625,1000,214.272519
149.109742,1000,217.964368
189.312987,1000,222.458252
152.537301,1000,224.280107
164.497474,1000,227.96636
187.035552,1000,232.422948
134.787738,1000,236.124738
133.959354,1000,240.656009
185.117073,1000,244.269875
79.372336,213,247.456887
183.326246,1000,251.134996
126.031642,1000,255.694697
188.372608,1000,259.396208
174.979386,1000,261.217155
