#{"t_start": 1785159733.865321, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-114.33331,114,1.583754
-230.473784,97,1.753835
-169.107775,81,1.886889
-339.714166,108,2.064157
-246.850852,92,2.209525
-97.70041,77,2.334023
-188.762737,115,2.525981
-197.054887,148,2.780448
-520.603405,165,3.058341
-340.249108,94,5.191537
-94.571304,78,5.33552
-72.435192,95,5.51097
-375.06528,118,5.72291
-109.884932,97,5.894569
-90.946611,78,6.03068
-171.877601,127,6.24878
-213.3251,167,6.540285
-410.486824,117,6.744937
-125.04418,100,8.933633
-169.01353,109,9.124993
-262.583046,130,9.357083
-76.506807,78,9.487805
-157.107852,110,9.671703
-151.43797,170,9.971452
-86.02501,113,10.164675
-235.902527,77,10.304497
-190.147251,108,10.494616
-100.737422,95,10.662414
-46.644451,77,12.526546
-44.240258,94,12.688444
-260.521728,147,12.943127
-87.732235,174,13.247394
-37.648188,87,13.388671
-203.313856,144,13.632367
-31.351237,126,13.85153
-124.593563,129,14.079223
-239.907326,105,16.207756
-89.075032,74,16.337779
-130.049204,134,16.573418
-95.993271,78,16.706061
-208.896901,148,16.966014
-97.955204,106,17.152576
-105.149456,121,17.354095
-71.750841,84,17.502713
-137.305919,85,17.654449
-55.594791,86,17.801771
-88.455935,167,19.724844
-43.418644,99,19.899669
-43.823186,99,20.073666
-40.776895,170,20.371562
-76.298807,91,20.525745
-144.489815,141,20.772664
-45.560278,112,20.974462
-213.939119,139,21.215129
-66.917066,103,23.400882
-197.922423,178,23.712641
-113.301297,101,23.889079
-170.851339,178,24.195053
-60.805112,116,24.397249
-275.235455,252,24.836769
-30.105181,206,27.072891
-8.53965,108,27.255628
-50.822633,159,27.524009
3.893111,97,27.694004
-47.926066,100,27.860662
-73.193186,91,28.016043
-52.468933,138,28.250122
4.648369,88,28.401629
-36.892178,94,28.562471
13.792419,125,31.014841
-64.125866,167,31.306926
-53.72902,113,31.51514
-2.119865,152,31.775959
-54.90371,110,31.964557
-14.685443,119,32.17397
-214.621544,144,32.42789
-123.582703,135,32.658493
-33.874663,110,34.693678
-27.456366,78,34.833971
-24.116437,122,35.044698
7.992576,104,35.229647
-36.48757,123,35.451693
-46.019659,170,35.740683
-67.334924,153,36.016927
13.597887,114,36.211649
-16.78668,117,36.423218
-22.669992,166,38.704058
-33.586355,140,38.937422
-19.592202,145,39.181811
-6.267196,136,39.430574
-7.009554,129,39.651155
-17.825127,108,39.850445
11.917244,161,40.134903
-78.949652,124,41.99467
-24.893587,140,42.23225
-21.944229,156,42.51482
23.377466,139,42.757634
-32.39016,110,42.9498
22.692313,111,43.13821
24.622522,175,43.436847
-122.587246,439,46.525936
-75.237574,315,47.061165
61.42797,135,47.287592
-12.284271,123,47.504128
-25.03023,110,47.686559
11.271179,113,49.72857
-15.345004,151,50.000772
13.931076,124,50.22037
11.703133,153,50.485337
-226.461768,965,54.935854
43.516183,180,55.230033
40.268361,1000,58.792774
-1.352328,129,59.00861
41.608693,183,59.319425
26.01041,140,62.198821
36.275511,1000,65.824553
64.690259,1000,70.163454
17.420776,101,70.34831
7.197377,149,70.607729
9.839985,1000,74.171794
-225.296104,314,74.72874
39.999563,1000,79.015508
54.788375,1000,82.63402
73.462491,1000,87.013644
-5.486304,154,87.289797
-18.95112,1000,90.787702
7.405634,231,91.198657
102.743317,1000,95.549038
124.726869,1000,99.103491
94.773819,1000,103.285738
113.157943,1000,106.717455
93.658663,1000,111.096541
99.86628,1000,114.541734
154.879791,1000,119.002418
79.294788,1000,122.320528
34.655847,1000,126.602324
167.273421,1000,129.940753
145.845454,1000,134.475571
145.486724,1000,138.067414
74.161333,1000,142.515933
114.579615,1000,145.859718
9.075788,216,146.2431
123.28277,1000,150.714732
142.44624,1000,154.298845
111.500399,1000,158.545457
131.115545,1000,162.156613
172.947092,1000,166.555108
131.143334,1000,170.159357
177.914156,1000,174.619756
140.10879,1000,178.198412
181.040029,1000,182.675564
148.33592,1000,186.274367
17.224114,212,186.653455
145.000567,1000,191.184947
121.517334,1000,194.553886
167.583377,1000,199.029219
150.642385,1000,202.600461
157.809438,1000,206.925602
120.748726,1000,210.296144
171.170427,1000,214.624466
121.100854,1000,217.971617
143.488137,1000,222.280696
170.806441,1000,225.763731
124.55535,1000,230.189764
148.80312,1000,233.542454
138.239172,1000,237.868687
172.99973,1000,241.449446
178.033159,1000,245.86392
115.214813,1000,249.446742
