#{"t_start": 1785160273.7264624, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-314.053286,116,0.815306
-298.331422,165,1.097694
-373.103681,104,1.276866
-259.762638,141,1.522053
-402.04761,145,1.773375
-415.424291,84,1.920968
-35.979416,1000,5.352077
-287.309146,133,5.584924
-231.774661,113,5.783295
-230.668844,121,7.93062
-85.259951,84,8.082527
-178.878678,136,8.324549
-360.527414,147,8.5906
-188.805504,133,8.840318
-226.966684,121,9.059391
-138.78242,131,9.287535
-238.088233,143,9.541484
-57.933439,65,11.400085
-117.81702,142,11.645107
-207.599513,148,11.898018
-85.803407,117,12.101022
-156.712398,103,12.282123
-72.860635,96,12.452656
-141.779335,103,12.64191
-73.394635,116,12.847856
-383.472834,122,13.070556
-223.459036,111,15.171299
-54.606451,109,15.36077
-94.654301,106,15.556494
-168.162099,96,15.726687
-176.413707,191,16.052779
-62.31757,153,16.322265
-65.444285,71,16.445893
-71.590709,71,16.579257
-71.042367,105,16.767418
-151.140901,105,18.627473
-94.92743,122,18.844032
2.386638,98,19.012523
-46.846341,99,19.183248
4.330435,83,19.329288
-132.281415,144,19.590541
-129.312854,151,19.869712
-26.7401,170,20.167756
-89.24188,97,20.337746
-155.042817,139,22.631273
-145.392242,143,22.89669
-301.443987,640,24.032739
-18.326604,120,24.238469
-65.766707,142,26.37449
-16.234207,119,26.585538
9.060576,107,26.773934
-26.661378,118,26.976011
29.33288,99,27.150064
-43.651721,118,27.358564
-330.691626,803,31.455659
-83.729152,164,31.750962
-10.574029,142,31.992875
2.572189,142,32.246569
-221.014024,136,34.182443
-24.549019,167,34.483882
-1.370764,1000,38.881691
-41.259236,150,39.157294
-45.157759,161,39.441674
-61.604572,164,39.736859
-22.475409,86,39.892365
-56.023978,1000,43.606063
24.037025,139,43.861524
12.251994,111,44.062013
-12.419091,145,46.602399
-265.622321,163,46.898275
-54.932291,173,47.205842
-137.653822,176,47.52029
11.472793,171,47.830428
-12.234451,158,48.117558
-48.900971,135,50.047322
-25.915289,137,50.29446
-44.2435,146,50.570816
-27.591953,154,50.845629
36.895287,114,51.053656
10.046564,119,51.27016
-52.778788,119,51.482083
16.253781,98,51.655673
47.352149,1000,55.792835
-72.500588,129,56.022434
10.260758,159,57.980128
-19.731674,102,58.163312
-117.813153,396,58.867135
-19.424734,149,59.141458
36.728465,171,59.46046
24.813075,107,61.979006
20.436535,142,62.239656
3.706946,1000,65.689563
61.197522,1000,69.932532
0.211637,157,70.212872
48.089279,120,70.428919
37.696624,1000,74.122501
-45.207643,183,74.445653
6.270046,148,74.705152
60.208933,231,75.117311
70.493038,1000,79.66731
70.655516,1000,83.159614
61.629056,1000,88.192319
103.344144,1000,91.861387
43.7796,213,95.182481
76.262626,1000,98.643285
115.819674,1000,103.861347
89.257855,1000,105.683897
-33.498949,286,108.089418
99.991722,1000,113.334374
93.221683,1000,117.017411
-13.097571,194,117.351545
46.198448,186,117.683454
115.088464,1000,122.409941
78.289002,1000,125.977234
156.070038,1000,131.978043
-17.380932,1000,135.672738
66.006163,1000,142.109123
0.37115,1000,145.831822
70.941054,1000,152.517761
87.808358,1000,156.194273
115.610462,1000,162.450208
-45.526974,426,163.191713
126.422081,1000,166.859704
93.999428,1000,173.497622
116.721406,1000,177.186567
94.172576,1000,183.596414
122.893428,1000,187.288472
159.854844,1000,192.82436
115.627013,1000,196.429314
100.168014,1000,201.586963
133.813065,1000,205.034485
121.635844,1000,210.070545
144.771075,1000,213.615875
-0.233691,247,214.059188
86.707396,1000,219.018712
96.326285,1000,222.468463
151.274131,1000,227.526445
116.011569,1000,231.116764
119.596837,1000,237.149543
97.805406,1000,240.584352
73.857811,1000,247.117273
48.212929,1000,250.646732
115.90059,1000,257.010626
-33.11403,392,257.712361
122.769883,1000,261.371783
152.878478,1000,267.216347
104.163436,1000,270.712445
65.955698,1000,276.055349
-13.92445,372,278.569263
