#{"t_start": 1785159208.615714, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-101.401033,92,0.669548
-526.781381,199,1.021778
-353.592711,90,1.183936
-422.433577,101,1.355959
-157.666923,151,1.602359
-302.9009,155,1.877893
-305.678225,140,2.123071
-171.723066,69,2.241086
-267.11609,105,4.125214
-209.714674,117,4.32847
-42.563447,65,4.443661
-350.342899,83,4.584373
-51.016749,72,4.709856
-290.017397,152,4.965295
-130.099384,144,5.203995
-80.477544,133,5.440869
-139.74804,108,5.634238
-188.435899,107,8.338997
-357.939174,126,8.568807
-101.710264,121,8.791015
-132.056913,108,8.985287
-78.018082,80,9.127946
-21.020205,84,9.27673
-105.631056,120,9.492563
-151.884067,121,9.711831
-134.719753,114,9.904188
-362.724833,93,10.068145
-48.325783,79,12.088283
-178.199273,116,12.295523
-174.862545,79,12.428264
-294.460575,108,12.613075
-57.964235,83,12.752325
-152.972062,168,13.044939
-489.893753,112,13.243655
-288.42021,114,13.450243
-120.237588,104,13.636083
-70.092167,74,13.764858
-128.618848,196,16.069018
-369.397023,167,16.369521
-155.484917,104,16.540841
-60.908918,77,16.665667
-34.591873,97,16.838986
-104.244521,95,17.009298
-61.419054,76,17.140749
-127.094681,121,17.352111
-322.297444,147,19.512966
-75.577918,88,19.666073
-78.295964,101,19.841884
-203.388988,109,20.032198
-57.565237,181,20.344759
-178.37865,129,20.57306
-107.297527,133,20.819955
-94.012711,120,21.042437
-123.168367,102,21.222297
-62.699203,97,23.492284
-51.302498,176,23.812563
-224.711569,141,24.07116
-14.681943,77,24.206592
-258.241695,172,24.506212
-233.199705,166,24.797436
-103.291151,77,24.930601
-164.050566,96,25.108663
-98.03477,84,26.964511
-70.623989,80,27.099006
-79.529045,83,27.243319
-64.966707,115,27.439291
-51.940786,163,27.724879
-100.999259,86,27.880064
-61.651154,144,28.13302
-243.267996,127,28.348904
-15.833119,82,28.495048
-68.498358,187,30.933357
-45.073183,122,31.144237
-80.917346,179,31.466383
-34.777064,73,31.595188
-48.689391,103,31.775607
-89.099226,120,31.993357
-80.62841,81,32.134987
-10.778687,130,32.359715
-85.905999,75,32.493546
-57.415922,109,34.417168
-238.20724,122,34.638739
-18.539753,127,34.864061
-50.782663,120,35.075673
-71.58233,154,35.35965
-87.691907,147,35.626806
-43.064065,114,35.832209
-80.36071,72,35.956794
5.196218,143,38.433481
-46.384382,178,38.752685
-9.583213,89,38.914648
-98.124769,133,39.147071
-27.638618,86,39.298239
-13.757365,204,39.668027
-30.554793,153,39.933623
36.444639,89,40.092462
-30.521222,165,42.07482
-55.918188,141,42.325761
-161.181314,119,42.536147
