#{"t_start": 1785209311.3810499, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-190.409901,84,0.973295
-86.784362,88,1.055774
-269.349894,108,1.142514
-297.648884,98,1.210153
-218.835891,125,1.2919
-119.889335,126,1.375686
-53.860594,67,1.416407
-15.033072,105,1.488294
-356.181897,106,1.557528
-138.268197,94,1.620121
-140.575282,122,1.710367
-285.304121,120,1.788479
-237.77822,117,41.256019
-267.711484,172,102.842702
4.087847,95,136.867006
-194.951138,395,278.162288
-231.196259,693,527.693358
-194.332827,271,624.597273
-218.59827,305,733.890885
-84.114618,1000,1094.768317
-65.941261,1000,1455.436552
-20.701666,1000,1816.04944
-9.728139,1000,2174.237115
-284.685057,887,2494.42071
3.847918,1000,2856.511465
-55.549398,1000,3218.544052
-0.993893,1000,3576.687653
-12.327964,1000,3938.133544
-20.784784,1000,4299.976558
39.057971,1000,4661.960014
-38.079879,1000,5023.408298
25.871979,1000,5381.598859
11.981291,1000,5743.547719
-6.846741,1000,6105.380254
-10.784305,1000,6467.084495
-1.97102,1000,6828.492304
-21.365889,1000,7186.498622
-16.993955,1000,7548.185586
8.756769,1000,7909.680688
-21.342165,1000,8271.503644
-21.384879,1000,8633.34601
23.10832,1000,8991.594389
-24.878693,1000,9354.02219
6.767319,1000,9715.516079
-3.600998,1000,10077.26293
23.479681,1000,10439.208705
-44.899247,1000,10797.445958
-44.387665,1000,11158.8686
0.448786,1000,11520.386049
4.76997,1000,11881.702195
