#{"t_start": 1785162490.8313975, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-377.892303,130,1.39891
-62.272907,72,1.447863
-366.102609,84,1.516655
-286.436987,74,1.574603
-206.259437,67,1.621293
-257.973383,165,1.732759
-24.364958,105,1.809774
-221.073613,83,1.864862
-275.525453,102,1.935103
-90.508852,104,2.013207
-274.760932,128,2.106219
-340.510058,120,2.190113
-49.041866,218,9.696623
-132.877646,824,39.50849
-9.017202,341,53.041285
-250.564839,155,58.733289
-75.262794,1000,95.448168
46.96044,97,98.971909
-173.27969,229,107.386447
-44.017284,1000,145.12682
-0.799448,249,154.024614
-67.997963,580,175.333443
-17.603124,407,192.714261
33.834015,91,196.094364
-84.20346,112,200.176803
-155.880052,1000,239.555128
-249.553603,893,272.021462
21.313505,133,276.880359
-171.773454,99,280.495401
-151.203848,267,290.816588
-90.540105,1000,327.13692
6.350653,1000,366.730946
-137.418188,90,370.038514
-152.689646,81,373.019949
-107.134259,89,376.201692
-54.500352,88,379.431884
-135.854602,71,381.797194
-132.343466,92,384.986591
264.80689,225,393.159361
-43.453701,164,399.113175
-11.565416,1000,439.049009
240.593082,624,461.842715
-68.501292,1000,500.823169
203.30873,677,527.755645
171.716779,939,562.011646
-45.168985,1000,601.262047
274.042322,296,612.039406
283.014042,252,622.29244
189.777659,420,636.71415
-192.736022,82,639.449294
-237.292107,159,644.832436
-69.634889,71,647.22941
-314.668539,112,651.297497
-101.268262,57,653.374979
-89.446024,103,656.84217
-10.614491,110,660.628678
-32.779003,120,665.511142
232.586419,633,688.613313
-84.153314,1000,726.378973
-44.319935,150,731.873886
-23.235015,152,737.428519
-36.018847,1000,776.092847
234.954352,414,791.065712
5.368978,86,794.200521
182.065824,626,817.624974
263.519825,416,832.897085
256.811466,357,845.243147
-19.691893,126,850.894991
226.23792,502,869.231203
-393.493594,940,905.059792
197.591189,477,922.586508
245.267165,362,935.876391
248.831185,503,955.223315
252.354944,352,967.972486
-234.612366,418,983.366037
6.519299,121,987.793353
249.779357,330,1001.505628
254.766199,303,1012.661587
207.247542,337,1024.884781
-360.350604,878,1058.249507
273.206656,470,1075.269547
268.706272,272,1087.274342
217.411851,462,1103.655647
186.207432,460,1119.669704
294.081075,327,1133.283951
245.127604,250,1142.430791
285.065972,306,1153.755198
252.679553,281,1164.101862
276.111565,365,1179.046183
261.449629,232,1187.555909
267.973225,413,1202.938433
247.799681,246,1211.942873
209.685553,603,1236.052706
254.496085,257,1245.262808
-5.213975,115,1249.517992
-127.81959,136,1254.486909
195.797312,392,1268.315606
260.064118,274,1279.034423
247.182107,242,1287.724146
272.747326,331,1299.897177
252.700346,353,1312.059875
245.552959,272,1323.151315
271.890614,547,1342.860366
238.061512,254,1351.921125
274.120705,297,1362.775311
278.918634,299,1374.696485
258.271542,247,1383.75823
247.289883,314,1395.141885
215.593881,293,1405.877242
224.356139,446,1423.485504
276.873647,328,1435.42436
248.373087,262,1444.874803
270.81842,218,1452.759083
-2.981672,1000,1490.374981
-100.765329,89,1493.612272
-91.782658,110,1497.61732
248.997961,313,1510.193058
187.082312,925,1543.284825
246.440888,307,1555.557269
270.046184,266,1564.822744
274.286348,284,1575.017125
272.544308,327,1586.703275
264.879936,252,1596.87745
237.910293,264,1606.004532
213.457446,684,1631.100551
270.505781,228,1639.4449
254.964683,254,1649.637934
276.525566,300,1660.662156
241.242695,253,1669.944225
243.91213,268,1679.684904
285.85165,296,1691.509796
234.06271,251,1700.613837
261.181363,243,1709.368897
245.866863,281,1719.678999
297.487951,369,1733.227249
258.799139,298,1745.004343
287.037178,254,1754.285094
237.137676,491,1772.14576
296.416038,290,1782.778697
272.224875,309,1793.710215
304.548296,270,1803.407661
243.353195,226,1811.549536
273.19223,227,1819.893636
301.638218,270,1831.258251
294.488871,245,1840.235735
266.59649,211,1847.910177
235.003088,229,1856.307916
272.162865,245,1865.23766
272.24069,192,1872.197958
269.291768,337,1885.420887
249.068976,216,1893.260832
272.416886,311,1904.687903
53.136352,1000,1941.755853
296.15179,240,1950.034506
254.163611,251,1958.687362
278.576655,322,1971.121144
279.364981,191,1978.001034
294.38399,323,1989.738365
286.560242,258,1999.165533
-5.034605,1000,2036.366738
300.597432,329,2048.403702
250.166196,211,2056.099469
229.702246,515,2075.96671
6.924637,1000,2113.666535
260.927641,220,2121.807823
274.260491,230,2130.183904
266.163664,295,2140.941496
267.614324,240,2149.735194
287.337375,244,2159.444228
274.620801,291,2170.170864
259.524459,207,2177.726453
271.316607,228,2186.055398
290.167945,204,2193.635406
254.457871,332,2206.661156
-58.1658,103,2210.477793
248.635351,261,2219.996565
256.115388,236,2228.70962
281.45585,258,2238.218416
255.623602,375,2253.09622
-6.575123,1000,2288.880565
