#{"t_start": 1785164785.7590022, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-216.183741,104,0.331751
-196.642751,96,0.402385
-257.318454,100,0.474049
-84.707483,141,0.587939
-404.145876,125,0.697025
-38.918674,73,0.768897
-501.681565,109,0.85878
-131.125712,132,0.95769
-267.305803,128,1.041862
-68.795911,81,1.102981
-434.968163,94,1.167524
-141.140706,97,2.498706
-82.632832,78,5.39589
-420.597629,151,11.041725
-479.658279,105,14.969732
-294.280486,99,18.726937
-22.208665,280,29.153853
-68.627371,410,44.41869
119.653261,1000,82.146466
-121.391979,110,86.1457
-125.742838,108,89.907548
-127.596691,92,92.960509
-137.429123,285,104.063824
-162.184476,282,114.553563
-132.176268,237,123.380795
-110.821988,238,132.322504
-278.72744,901,167.240606
-118.977897,66,169.676509
-113.386261,58,171.894904
183.89418,756,200.65131
-116.3995,71,203.191233
-136.640715,88,206.422686
-129.377027,67,208.895936
-139.002687,86,212.008038
12.179971,1000,250.878055
-173.94476,751,278.740978
122.241331,796,310.480799
-60.771637,1000,350.448673
-44.717182,1000,391.357824
-16.212585,1000,428.812993
-17.537728,1000,469.849093
-11.790509,1000,509.454313
-10.128069,1000,549.557325
-24.966544,1000,589.649569
-61.931589,1000,626.799457
-56.941105,1000,664.350914
-178.681844,789,696.778593
-48.762264,1000,736.645521
-32.522289,1000,774.210066
-249.576484,674,802.534105
-56.993382,1000,843.285947
-60.821888,1000,883.860464
-47.814844,1000,920.896669
-34.656753,1000,961.891861
-9.844995,1000,1002.625082
-34.815385,1000,1043.348043
-0.379396,1000,1084.050887
-75.888518,1000,1121.508134
-30.266342,1000,1161.959385
-16.379352,1000,1202.926016
-30.8184,1000,1243.857966
-17.286197,1000,1284.365809
-34.556174,1000,1319.135583
-40.643592,1000,1358.964995
-21.450563,1000,1399.738714
75.260553,985,1439.702956
-28.471962,1000,1479.531054
-28.511376,1000,1516.217096
42.444348,1000,1554.461606
18.663733,1000,1595.377604
-13.264329,1000,1635.359657
-26.202174,1000,1675.646245
-35.552275,1000,1712.505646
80.407093,907,1749.537531
-43.620192,1000,1790.127795
-35.439645,1000,1830.932572
-42.855195,1000,1867.438816
-22.526224,1000,1908.054869
59.71654,940,1945.791492
-14.54022,1000,1986.057808
-7.454815,1000,2026.931001
71.362972,1000,2064.064368
30.337455,1000,2104.812468
-58.937239,1000,2145.598078
-18.899628,1000,2186.354949
-2.91631,1000,2226.553376
-35.013516,1000,2263.282377
-5.00374,1000,2304.007174
-52.537559,1000,2344.947436
-34.958439,1000,2384.991607
