#{"t_start": 1785191750.8187385, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-272.506137,124,0.749187
-91.172413,98,0.844102
-104.587299,124,0.946509
-98.627812,164,1.111072
-263.600715,106,1.213152
-126.598879,148,1.353994
-408.448532,138,1.495938
-407.406937,84,1.568122
-196.764745,67,1.629018
-77.831666,74,1.706942
-141.305002,131,2.341406
-252.52166,215,10.026183
26.089928,1000,46.688591
14.313827,1000,87.152583
-75.302011,324,101.387012
54.415253,1000,137.690505
-24.646735,1000,177.329382
-25.797906,1000,217.49312
-16.971675,1000,257.753343
-16.670079,1000,298.148632
-4.659566,1000,335.338797
53.956488,1000,376.241156
-6.112258,1000,417.345276
23.548286,1000,458.122171
-0.211429,1000,498.727464
55.441403,1000,535.033112
9.673012,1000,575.948084
43.478212,1000,616.937921
16.642124,1000,658.049933
167.818892,887,690.903941
-89.029457,1000,730.07292
257.121771,333,744.011086
3.597239,1000,780.314419
247.607213,300,793.564085
279.65668,243,802.571619
244.176332,297,813.671436
254.300365,455,830.465455
254.262621,268,842.32549
-109.235847,540,862.324435
3.875474,1000,901.220053
242.161995,270,911.366452
272.444072,230,919.922547
272.830423,226,928.41387
289.585394,263,939.3214
283.455437,303,950.654783
23.599712,1000,989.297422
62.558109,1000,1026.33304
250.23135,274,1037.507437
232.061018,205,1044.966338
55.680408,1000,1082.198031
266.093101,172,1088.683352
244.026339,183,1095.59657
282.739146,154,1101.360078
285.632654,329,1113.086291
274.629611,162,1118.645636
243.033688,292,1130.367054
290.713909,348,1142.616014
280.900981,258,1151.953934
297.821883,206,1159.661761
277.781546,205,1167.339662
297.711675,311,1179.444376
284.415573,254,1188.321947
275.774414,208,1195.640102
286.60065,255,1205.097312
271.067103,246,1214.252675
259.342945,176,1221.675655
263.663004,181,1228.45293
269.535896,396,1243.149877
262.476624,308,1254.669034
278.921426,216,1263.558124
269.399704,196,1270.815403
277.967892,160,1276.752622
268.884753,225,1285.111532
284.752543,202,1292.671805
270.260132,301,1303.937562
259.902268,215,1312.727314
289.95513,253,1322.132939
262.063217,238,1330.901617
285.787238,248,1339.659411
307.026771,220,1347.166692
291.665261,269,1357.89909
261.939623,242,1367.022934
305.769189,281,1377.464064
270.625309,212,1385.315089
274.989359,220,1393.632192
280.395826,210,1401.395387
301.259407,225,1410.703602
270.731154,175,1417.260059
245.980185,170,1423.709584
309.625403,271,1433.948461
264.803176,199,1441.379766
292.570876,186,1448.348627
283.735762,160,1455.398835
266.872365,249,1464.656975
295.279738,238,1473.598059
281.804089,154,1479.384245
283.691929,215,1487.385314
266.864568,144,1492.795762
253.351591,181,1500.343804
314.885829,286,1510.187033
292.144429,264,1519.63023
267.556385,185,1526.246486
261.260841,188,1533.24176
250.088196,181,1540.012794
282.624269,226,1549.292155
302.78522,246,1558.481099
291.171915,234,1567.235062
260.373146,194,1574.473495
270.252638,211,1582.122814
263.306755,187,1588.459743
287.941161,245,1597.794822
265.592613,323,1609.52502
286.968164,228,1618.053016
264.461358,209,1625.582384
279.899251,225,1634.040908
252.522634,157,1640.894968
279.580508,221,1648.604279
258.17986,479,1666.451545
87.547681,1000,1703.43653
268.63721,191,1710.459741
247.837023,167,1716.730252
267.796555,206,1724.402256
267.03558,213,1733.123339
283.287287,208,1740.885231
261.672051,441,1757.148427
257.741412,162,1762.362166
292.074114,202,1769.52622
277.848885,246,1779.679721
282.211901,198,1787.165384
313.024584,232,1795.795797
238.683678,178,1802.385403
274.961273,158,1808.241099
293.360132,253,1817.617216
74.799623,1000,1854.843347
260.728046,228,1863.302074
270.296681,165,1869.463121
301.774559,237,1879.070744
305.851498,262,1888.846462
281.950891,216,1896.883548
276.479111,251,1906.182088
298.551945,278,1916.568586
276.134674,200,1925.158465
269.415294,229,1933.780632
259.380236,253,1943.203898
294.274728,221,1951.411866
273.055836,221,1959.588922
273.027982,460,1977.703998
290.58934,198,1985.087963
269.885758,206,1992.750336
292.945677,224,2001.076478
282.165711,166,2007.174028
273.678876,180,2013.824309
292.839651,196,2021.675482
315.522681,254,2030.535872
304.822385,220,2038.674531
254.349229,177,2045.213145
278.103934,157,2050.558651
261.153833,157,2056.067997
298.168789,254,2065.822418
242.993376,177,2072.332659
305.734565,278,2082.355912
298.78366,220,2090.571007
295.00553,258,2100.200759
289.725475,213,2108.945664
271.849989,200,2116.321714
250.768463,198,2123.214414
299.548619,217,2130.945361
278.693533,252,2140.384415
271.587486,225,2148.811744
220.689489,625,2172.981537
266.099363,204,2180.627427
297.049074,207,2188.322827
43.751872,1000,2226.019049
283.096765,259,2235.312181
257.404065,241,2244.264397
279.220488,188,2252.096266
273.34268,189,2259.149439
280.346635,179,2265.826254
259.416114,209,2273.710459
235.85562,194,2280.963105
302.827599,252,2290.350317
246.578683,183,2297.920628
286.267326,262,2307.745201
262.491161,227,2316.182774
278.551602,171,2322.555894
288.135766,319,2334.087926
