#{"t_start": 1785196543.6247187, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-93.039988,80,1.027648
-281.072115,117,1.139323
-121.015901,113,1.246868
-10.214232,92,1.347525
-349.896442,87,1.441713
-215.408388,109,1.560087
-272.111245,63,1.625262
-59.509015,161,1.772218
-337.708938,101,1.85005
-356.410577,106,1.956406
-304.980971,121,2.073855
-287.861826,123,4.572238
-186.889329,176,20.525293
-132.576673,1000,111.426412
-59.344484,1000,202.696047
-10.325271,1000,295.326864
-36.3022,1000,389.930918
-38.295803,1000,484.187864
-17.422692,1000,575.193631
-37.109046,1000,669.248076
-13.386582,1000,762.717479
239.970252,222,782.904779
-19.662533,1000,876.769443
9.161875,1000,971.460115
8.942695,1000,1064.866013
180.985136,625,1121.256489
152.630902,778,1194.596503
164.44103,610,1249.246799
-78.508804,1000,1343.676578
42.897202,1000,1437.338705
-1.457288,1000,1531.386753
214.453755,627,1588.511793
188.981755,413,1626.100182
240.955902,361,1661.824894
229.234406,563,1713.054117
-21.542707,1000,1806.106678
276.3251,314,1834.146322
281.458939,326,1864.995109
226.003959,295,1891.501034
283.628057,405,1927.782185
289.920222,269,1952.221151
266.214149,311,1981.880629
281.913055,373,2015.835172
274.071139,245,2037.970035
285.860791,248,2060.33202
248.440765,283,2085.886197
256.529535,469,2129.711643
274.413462,503,2175.481881
228.059997,423,2216.306836
286.120082,295,2242.886128
275.994502,339,2273.73411
269.872195,300,2300.939408
244.655205,224,2322.390177
298.719948,294,2349.148369
275.834994,310,2376.989123
263.854462,283,2402.75067
249.98326,225,2423.232376
288.171353,243,2446.314939
279.24757,248,2468.679976
292.167578,252,2491.638467
279.90433,236,2513.132211
244.247913,209,2532.182291
286.654537,238,2554.439401
258.267727,164,2569.146174
288.149237,224,2589.05096
269.464491,361,2621.966523
249.904682,165,2636.970103
281.336693,219,2656.901614
300.647989,253,2680.666998
279.607887,203,2699.164021
256.93065,230,2720.111578
299.078611,223,2740.448789
297.631642,215,2760.048128
275.575236,174,2775.870693
283.935026,218,2796.299696
249.713963,197,2813.996626
263.356283,291,2840.496889
225.157623,195,2858.208779
278.386706,242,2879.926894
270.694398,207,2899.305579
304.943264,279,2924.366673
276.512917,186,2941.267602
292.231006,238,2962.865132
259.105471,305,2990.656263
269.565361,214,3010.995555
288.638821,217,3030.66949
251.820166,205,3049.346168
263.047455,255,3072.528251
311.347162,222,3092.247098
223.954282,200,3110.01576
273.64069,189,3127.749552
250.321211,219,3147.673528
281.264233,252,3170.637577
269.911245,215,3189.984526
281.058636,368,3223.486315
285.982264,248,3246.89689
250.033132,204,3265.446521
279.426761,225,3285.935866
244.770439,209,3304.994343
273.721897,231,3326.037636
269.628871,219,3345.965722
256.357802,202,3365.235644
272.396813,226,3385.793699
258.57346,204,3404.370147
253.678742,892,3486.494511
258.76338,243,3508.612205
248.673739,209,3527.693842
278.041729,239,3549.427928
256.960627,576,3602.545065
256.251723,192,3620.024386
286.879747,213,3639.426249
272.822889,239,3661.225569
273.817932,200,3679.434438
249.277104,191,3697.39344
229.063908,283,3723.14916
247.752494,176,3739.013459
277.370207,232,3759.873451
251.605544,186,3776.659567
269.672781,224,3796.91368
288.723751,210,3816.817224
242.94322,382,3851.6107
278.634967,181,3868.09606
277.480059,179,3884.385053
261.264263,186,3901.333817
246.763485,220,3922.15905
239.048198,197,3940.138076
267.862385,232,3961.224644
264.753403,198,3979.262979
243.823246,190,3996.531068
247.312615,204,4014.948359
272.83124,249,4037.967656
260.622061,214,4057.447782
266.136382,215,4076.998053
303.110947,231,4097.858289
252.796444,193,4115.430195
273.759698,231,4136.460765
290.317229,223,4157.055406
273.522705,232,4178.180503
272.812092,245,4200.477556
297.540846,254,4223.179683
245.672707,188,4240.267551
287.446335,182,4256.849069
290.872465,198,4275.587806
269.959139,165,4290.433346
235.786585,178,4306.64206
240.713215,265,4330.761417
296.08645,210,4349.879512
298.879938,204,4368.403833
303.898217,227,4389.844833
297.450722,209,4408.545956
236.156426,218,4428.376538
298.80945,202,4446.659074
265.621379,195,4463.905077
281.789647,155,4477.926517
254.601672,177,4494.779317
253.86138,184,4511.55855
309.343702,212,4530.754472
301.374992,214,4549.601444
299.319968,258,4572.309083
286.41236,213,4591.465092
263.714779,168,4607.432071
286.51714,222,4627.617982
273.887055,195,4645.359783
303.928887,213,4664.730157
276.16178,250,4687.451725
265.425079,191,4704.857221
262.712673,199,4723.573839
305.756801,254,4746.711232
246.615054,206,4765.452176
299.670009,222,4785.632651
249.759082,178,4801.828301
283.698179,199,4819.925811
307.060171,250,4843.688431
294.966848,256,4867.02005
235.608237,448,4907.082707
245.0146,183,4923.409654
274.277811,191,4940.421382
280.232606,202,4959.173528
261.553577,204,4977.433033
302.498802,237,4998.951187
292.623086,289,5025.240683
289.32347,221,5045.315481
278.026051,211,5065.52358
293.040004,211,5084.421219
273.356521,183,5101.002156
239.767366,178,5117.201847
231.67784,160,5131.693724
275.883251,170,5146.873441
288.095592,211,5165.747925
267.557274,150,5179.792144
293.517591,239,5201.403549
257.829424,165,5216.418475
279.71979,225,5236.922019
293.281694,223,5257.199954
260.567769,237,5278.698449
285.497225,179,5295.336624
279.09787,163,5309.824724
260.231903,244,5331.598547
290.199201,220,5351.667237
278.082054,200,5369.855935
280.993647,162,5384.582089
241.600423,198,5403.400453
254.579377,205,5422.046424
275.937038,165,5437.062623
310.929167,197,5454.968813
264.089239,179,5471.270686
294.104897,208,5490.149555
306.207789,211,5509.326006
275.897676,166,5525.256504
290.22377,179,5541.558323
315.167405,204,5560.156011
285.024615,238,5581.806191
273.289681,219,5601.64271
290.982526,201,5619.937153
