#{"t_start": 1784554391.3087935, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-91.1068,133,1.382536
-392.689036,154,1.499216
-192.076105,113,1.578468
-103.200494,80,1.647432
-473.950694,131,1.751886
-348.488757,93,1.822073
-88.18436,75,1.876381
-112.618533,87,1.942849
-162.040079,71,1.993201
-98.624674,92,2.06101
-89.444977,107,2.137399
-56.515163,72,2.190638
-149.467102,264,10.691568
-576.82262,715,36.926696
-215.576729,447,54.437124
-141.317798,664,78.724667
-56.310982,123,83.278338
-55.952927,113,87.413713
-37.340282,87,90.544117
-45.108478,1000,128.071321
55.437471,1000,166.380407
31.590923,198,173.715768
-70.069794,135,178.65711
-95.278845,83,181.7131
-37.93809,125,186.358856
-14.176382,140,192.336577
-6.706307,1000,229.092255
240.817195,294,241.013867
171.76184,372,254.691836
-94.332257,191,261.696635
267.078414,206,269.279493
245.211459,305,280.293108
248.386037,305,293.073527
-33.701294,142,298.2974
-11.65098,125,302.91416
1.760043,124,307.461081
-8.27171,1000,345.630742
212.718094,349,358.416251
76.303538,144,363.530754
296.088015,203,370.845902
33.840069,134,375.907785
253.608402,324,388.625903
302.536421,205,396.057663
252.137066,199,403.044545
260.154194,339,414.488049
287.81137,180,420.403885
171.593967,690,447.019601
162.160926,743,474.90989
46.147807,139,479.987423
299.151704,187,486.912537
63.406388,145,492.191262
34.140868,135,497.182203
285.586422,328,508.927624
257.010773,296,520.521005
263.007243,171,526.82329
-6.119916,151,532.302813
286.066906,152,538.010118
27.254402,164,544.080832
278.433458,218,551.718327
252.804179,161,557.389333
246.822293,783,587.54009
310.025808,226,595.816755
270.500098,268,605.571607
228.313308,240,615.026366
-95.375745,360,628.188564
312.318414,235,636.820026
250.653799,157,642.623553
18.099953,115,646.82958
288.437307,190,653.807398
279.629901,230,663.023784
249.025331,178,669.597444
275.168565,190,676.626028
312.416039,270,686.57675
287.801499,210,694.34019
284.748965,149,699.369794
283.094408,227,708.198116
282.417709,183,714.888232
286.737686,278,725.002418
265.952995,169,731.305571
284.302053,160,737.205812
278.629474,162,743.168574
318.295733,218,751.350317
289.941533,158,756.68421
302.85496,162,762.310206
293.061468,146,767.345841
280.633534,226,775.621956
295.096062,197,782.348568
288.301951,152,787.660028
268.117834,168,794.355999
299.637457,188,801.321026
243.980597,180,807.912744
312.406633,166,814.026879
296.910641,198,821.294827
276.826971,179,827.856036
304.060747,196,835.062432
299.731333,152,841.357734
289.270285,163,847.401364
286.423967,139,852.56388
320.339518,181,859.105684
311.714102,174,865.489058
289.923016,179,872.042841
306.173257,164,878.035882
256.703722,162,883.996103
276.350687,211,892.461046
318.481518,228,900.799212
306.661299,192,907.872965
313.73587,176,914.292263
292.575187,205,921.8902
306.734447,176,928.152578
305.940872,208,935.992199
288.514221,156,941.359664
282.584335,191,948.433468
264.959262,174,954.860485
313.293725,209,962.497066
305.025031,190,969.332767
285.401763,144,974.650708
261.488749,158,981.318873
285.669907,173,987.685347
61.238591,122,992.133304
258.60479,151,997.429394
289.759237,148,1002.63662
311.267076,177,1009.13316
298.833697,170,1015.350648
279.352026,159,1021.234971
262.209618,254,1031.264707
261.657232,174,1037.601888
297.588775,144,1042.668321
260.18938,164,1048.610755
273.410925,166,1054.713146
302.444925,214,1062.532426
270.05159,159,1068.272069
286.024395,137,1073.375816
264.064292,331,1084.372436
288.281138,154,1089.87909
275.212931,173,1096.207018
313.051396,234,1104.759367
300.695191,205,1112.196263
198.231015,303,1124.014528
277.93163,346,1136.872539
260.510781,211,1144.571995
271.166096,144,1149.868586
264.899155,221,1157.972765
288.198904,135,1163.507334
267.387016,166,1169.610715
291.497834,178,1176.200053
263.447131,160,1181.767627
277.07177,181,1188.352291
272.979743,151,1193.913327
312.979257,185,1200.562252
262.492391,160,1206.404059
259.116909,188,1213.829675
282.210102,165,1219.881715
289.828217,187,1226.741822
291.061743,158,1232.198095
276.380388,193,1239.084897
296.394092,168,1245.321043
297.977859,198,1252.56651
297.256836,185,1259.915001
238.641212,166,1266.022938
296.231414,177,1272.576169
283.308706,198,1279.861662
269.546045,147,1285.202928
287.593681,487,1303.320837
265.672072,167,1309.207017
272.456478,167,1315.097973
300.249358,199,1321.974049
313.558138,168,1328.173649
296.706492,146,1333.480549
285.750798,162,1339.437074
283.275869,187,1346.882725
286.452539,188,1353.46016
286.476232,150,1358.711003
246.878419,159,1364.460221
286.382684,185,1371.156898
258.199509,155,1376.815639
272.88107,150,1382.314058
314.057415,163,1388.304914
265.536595,175,1395.303793
252.394038,163,1401.306291
281.954012,176,1407.760642
278.484641,177,1414.271306
274.768235,169,1420.500513
288.18031,159,1426.215619
270.469842,166,1432.206753
290.540134,172,1439.090121
303.986192,202,1446.616467
251.659733,152,1452.037848
268.8562,170,1458.326887
280.844232,171,1464.590518
262.407529,156,1470.275604
294.565767,205,1477.664963
284.24985,149,1483.111413
249.818915,145,1489.113445
299.824801,247,1497.73661
295.293954,186,1504.113609
262.880067,156,1509.597058
259.470324,181,1515.784583
289.431433,149,1520.807718
248.366489,149,1526.000771
266.103062,154,1532.025724
308.104656,143,1537.254444
309.906817,273,1547.360862
295.646783,177,1553.571037
285.955717,202,1560.663343
288.078036,184,1567.104905
273.803535,178,1574.21659
274.736012,198,1581.48687
267.446638,168,1587.680332
291.823681,205,1595.316614
266.707327,172,1601.28242
315.591355,211,1608.956222
296.389701,171,1615.22016
308.765708,212,1623.444199
280.627643,165,1629.485658
287.45036,174,1635.876286
291.850448,154,1641.48656
252.31461,162,1647.384136
259.601774,161,1653.316944
286.135517,177,1659.83572
263.640337,150,1665.335904
270.550944,211,1673.70027
263.242926,166,1679.853111
274.488533,178,1686.430262
286.538683,234,1695.078577
280.85398,210,1702.840218
291.227918,136,1707.894529
327.102093,165,1714.706365
314.702094,243,1723.649925
299.910302,300,1734.728548
264.585884,156,1740.499417
267.455452,173,1746.810213
271.969813,192,1753.865622
43.844412,137,1758.842794
262.236156,169,1765.523215
251.549005,162,1771.542693
257.417196,166,1777.620422
286.665939,148,1783.092836
248.602373,261,1792.744981
304.267706,161,1798.444191
5.274727,136,1803.018901
274.23075,182,1810.184315
300.043691,179,1816.565656
266.613258,179,1823.121652
285.633289,174,1829.579028
272.542414,140,1834.741229
309.06017,222,1842.917776
279.057571,153,1848.587036
286.427774,172,1855.557565
275.657735,163,1861.491924
275.29473,173,1867.871573
293.286551,131,1872.730973
295.25975,204,1880.270687
281.713073,147,1885.73084
304.686553,208,1893.426531
275.207912,156,1899.594502
248.087381,144,1904.948175
289.953899,254,1914.231718
269.272392,150,1919.668207
