#{"t_start": 1784563263.1364708, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-165.352652,125,0.963185
-288.637467,98,0.974843
-308.383312,110,0.988213
-336.106034,91,0.999178
-64.536031,73,1.008487
-371.40427,91,1.019334
51.221242,105,1.03221
-290.446838,99,1.044113
-361.770279,87,1.05539
-315.371712,80,1.065104
-100.285,103,1.077286
-60.149849,99,1.089185
-362.845575,93,1.100617
-60.018704,84,1.11061
-222.263224,84,1.120904
-255.707603,123,1.135417
-155.803908,69,1.14411
-187.988639,118,1.158254
-340.590378,107,1.170904
-433.318534,90,1.181533
-74.844641,157,1.200646
-209.976309,71,1.209173
-197.590447,123,1.223855
-296.036609,96,1.235365
-152.988524,75,1.244892
-228.163461,96,1.257092
-389.765497,108,1.269939
-142.35415,123,1.284508
-531.277786,161,1.303817
-235.361607,127,1.318897
-147.092704,123,1.33363
-220.687294,137,1.350043
-155.263824,76,1.360007
-329.699613,92,1.370855
-414.704689,124,1.38539
-211.767907,93,1.396484
-71.527276,156,1.415603
-185.45793,124,1.431494
-109.302548,104,1.443895
-299.283171,103,1.456778
-196.320918,125,1.472154
-252.256139,117,1.486014
-229.694034,144,1.503689
-143.829967,75,1.512962
-216.06158,121,1.527943
-47.132491,135,1.544069
-297.298689,87,1.554362
-76.014317,98,1.566454
-89.754303,116,1.580542
-178.767285,68,1.588702
-240.165892,74,1.59748
-56.516601,75,1.60641
-192.105323,98,1.618448
-372.732889,103,1.630832
-395.735687,92,1.641866
-340.960561,146,1.659357
-309.638979,87,1.66993
-195.830527,99,1.681344
-260.198246,161,1.700269
-96.717722,80,1.70971
-239.298804,69,1.718241
-249.557082,96,1.730491
-113.647611,106,1.74337
-326.50356,93,1.754745
-150.424167,75,1.764486
-80.364994,114,1.777733
-117.959606,163,1.796782
-56.393895,104,1.808896
-112.786932,150,1.826951
-337.13809,93,1.838106
-452.5965,115,1.85189
-200.719766,107,1.865025
-224.797791,104,1.877656
-360.142909,88,1.888074
-378.062621,89,1.898708
-246.739169,131,1.914144
-114.761832,128,1.930009
-9.680509,77,1.939384
-420.171148,161,1.958462
-418.820384,90,1.969243
-87.43944,82,1.979418
-84.540731,108,1.991984
-336.979784,88,2.002297
-219.419199,132,2.017717
-44.103628,94,2.029588
-258.786513,88,2.040377
-485.146567,106,2.052956
-72.352875,95,2.064274
-280.528569,93,2.07584
-13.454685,134,2.091684
-363.053616,120,2.106035
-365.521267,103,2.118189
-562.003429,145,2.136185
-90.10409,87,2.146596
-101.632269,73,2.155385
-116.376533,205,3.645793
-69.754926,94,4.059222
-277.461382,151,4.677617
-87.182911,327,6.010107
-166.583213,560,8.362291
-178.476671,769,11.595049
-45.551633,1000,16.296784
-29.188055,1000,20.781858
-16.508774,1000,25.462298
-39.758911,1000,29.537412
-45.047066,1000,33.715217
-71.109485,1000,38.145313
135.929048,803,41.639381
-47.522241,1000,46.145064
-81.357534,1000,53.333338
-62.190536,1000,57.417175
168.367477,840,61.39905
-19.249516,1000,65.540083
197.747506,660,68.67909
51.762893,1000,73.440655
62.004491,1000,78.206752
-8.160687,1000,82.957209
-96.400959,1000,87.712121
-93.448232,369,89.467925
3.520715,1000,94.234863
12.036308,155,94.973537
-48.363884,1000,101.233383
-130.877828,113,101.694559
211.059782,594,104.122154
227.61772,695,106.959346
31.33071,117,107.438212
234.797335,654,110.170753
15.450883,117,110.646293
40.735194,94,111.033659
50.69425,118,111.514557
-79.863144,100,111.92355
11.659008,145,112.512262
-14.147567,139,113.080642
37.835265,136,113.652433
-69.487669,97,114.04673
47.372807,109,114.494289
36.618245,146,115.1897
-10.518187,121,115.764252
-268.04184,85,116.169123
15.249899,145,116.767802
-256.230358,113,117.283342
-74.264643,116,117.76022
17.779386,122,118.253308
-26.682283,88,118.617269
12.759385,116,119.088617
-10.421658,111,119.542159
24.212232,131,120.074444
-46.137987,98,120.470665
30.222865,187,121.237491
38.60533,103,121.658109
192.879413,725,124.612271
-16.006719,118,125.091751
