#{"t_start": 1784568273.3656719, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-302.602029,90,1.480988
-338.835579,89,1.569694
-111.675726,95,1.661108
-466.462094,122,1.763963
-78.006,103,1.859832
-25.19157,146,1.972839
-219.759986,101,2.05029
-199.862396,137,2.1476
-151.051429,108,2.214182
-320.391168,82,2.271925
-140.542378,130,2.367074
-45.219207,75,2.978982
-310.613362,152,3.990594
-358.31966,110,4.756138
-406.690838,165,5.847142
-281.917999,239,7.477623
-74.444071,1000,17.321058
-63.505297,1000,27.048065
-102.404355,1000,33.82475
-368.676396,805,42.106831
166.581339,861,49.976079
125.575385,918,59.110263
-202.530095,752,64.168004
-95.774775,462,67.315599
-148.419455,740,75.17215
-116.340509,1000,84.927406
-30.933687,1000,94.005713
-41.883172,1000,100.846916
-24.379577,1000,110.946008
34.305268,1000,120.986366
-18.371501,1000,131.021282
9.292204,1000,141.180235
-49.263882,1000,148.048746
49.603194,237,152.940542
-23.471183,1000,159.875697
-36.790034,1000,169.825297
-30.024205,1000,179.565063
-24.301255,1000,188.912885
134.134753,753,194.153763
-291.462952,791,201.673532
-17.49271,1000,211.220965
267.374884,427,214.15214
105.407423,850,222.324314
166.954349,489,225.713253
197.921816,352,230.040625
194.442229,470,233.326982
129.641797,850,240.903316
253.592667,364,243.459136
5.456943,1000,253.29265
198.732427,521,256.845246
218.693533,442,261.152311
258.334,201,262.601458
18.380296,1000,269.529291
108.009653,815,276.695182
106.696967,874,284.704595
188.483397,376,287.31973
-48.891997,1000,296.717174
-71.519636,1000,305.28543
245.963792,224,306.778009
253.900873,372,309.361137
245.10929,259,311.149695
246.45455,401,315.662831
263.41589,260,317.442691
253.455714,309,319.6158
288.779855,416,323.936521
236.273094,287,325.928953
234.752878,380,328.513957
274.25365,404,331.293544
229.566155,449,336.502708
268.76406,235,338.133754
214.139569,214,339.640983
160.506775,870,347.761605
244.503391,510,351.272921
-39.438516,1000,360.29026
213.594605,434,363.20819
230.009017,422,367.774313
280.85013,458,370.883481
-75.400545,1000,379.157453
194.529931,577,383.111021
141.720487,748,389.853093
246.893043,380,392.47138
244.485626,264,394.318855
255.194573,224,397.743365
-58.6308,1000,404.673974
9.685559,207,408.060804
-10.657655,286,410.014323
266.143947,216,411.513333
239.051205,269,413.322542
-53.827967,1000,421.821025
-54.683066,1000,429.835688
-121.710643,246,431.508641
267.568533,257,433.268218
23.494299,99,433.974793
256.371801,601,439.10753
211.36806,204,440.551258
244.076367,185,441.826038
155.8781,893,449.184424
253.875205,202,450.54883
243.147272,312,452.70939
154.494653,736,459.220363
34.996046,132,460.146704
235.555397,180,461.335165
175.15897,297,463.366441
265.074267,347,467.054769
253.334809,163,468.197258
238.707327,315,470.370675
172.766664,992,478.346646
261.007281,340,480.692933
257.674487,233,482.332201
243.375561,217,483.80338
214.486917,264,486.554752
230.519099,320,488.712106
255.156303,232,490.286639
285.191604,323,492.535792
224.077206,522,497.47458
265.038657,263,499.295941
266.592976,218,500.789366
266.812609,335,503.091642
257.363905,208,505.786862
248.695502,223,507.336594
284.761049,222,508.912669
139.265761,517,512.522233
265.809603,192,513.839389
273.537115,234,516.645212
187.954071,420,519.553653
206.060157,238,521.162158
282.869115,301,523.228341
