#{"t_start": 1784567770.243061, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-278.733634,107,1.248675
-65.838334,113,1.400684
-37.211174,85,1.514633
-206.811295,128,1.687511
-301.985525,117,1.840415
-264.243616,131,2.013512
-270.711439,144,2.210034
-302.014616,88,2.335933
-79.413982,79,2.443662
14.792947,79,5.624096
-184.298348,81,5.738415
-165.321412,176,5.974849
-376.416665,105,6.126595
-221.753347,149,6.324844
-161.61479,153,6.547492
-222.190232,165,6.772178
-297.696482,121,6.929438
-215.896011,124,11.087928
-183.405515,68,11.178679
-104.91035,72,11.277429
-46.730251,102,11.419578
-119.572833,115,11.576619
-277.09177,114,11.732367
-230.45181,130,11.913919
-68.688195,135,12.103754
-164.849141,100,12.239499
-200.537492,127,16.558
-60.310002,83,16.664651
-261.079351,137,16.851395
-280.055049,182,17.100344
-158.910498,82,17.211427
-79.701346,138,17.398433
-233.372789,182,17.649603
-31.791488,67,17.745963
-91.401541,125,22.217656
-131.525602,127,22.390838
-87.188693,83,22.500487
-129.218225,142,22.696491
-130.749978,89,22.814564
-125.682055,114,22.97254
-78.562508,84,23.094645
-0.746761,92,23.214571
-55.041171,83,23.334193
-63.187379,142,23.532392
-161.896112,121,25.749436
-51.893358,84,25.863784
-98.797216,100,26.001726
-96.402344,169,26.233253
-48.87997,136,26.428326
-13.208745,76,26.533366
-79.744107,111,26.683151
-4.910765,96,26.813728
-20.695962,160,27.02819
-48.293414,157,31.576679
-197.385232,140,31.775455
-34.744227,95,31.90174
-38.407993,156,32.122303
-43.168798,98,32.2612
-120.118999,162,32.480048
-24.303413,69,32.57153
-57.484938,125,32.751742
-56.007026,105,37.011241
-22.721193,147,37.213276
-69.429266,150,37.424405
64.410835,1000,40.702442
-6.116755,98,40.836041
-43.700217,94,40.964482
-20.987099,84,41.077465
-50.254361,183,41.3261
-17.360975,103,41.472296
-7.199188,170,43.480226
18.27672,97,43.608862
-74.91007,215,43.894971
-46.220018,106,44.043559
-33.035444,147,44.239276
-31.194502,149,44.437651
-11.442728,163,44.6618
-10.718822,116,49.336373
14.902802,172,49.574236
25.621445,187,49.823205
6.827663,156,50.03672
-18.477471,185,50.283206
-10.444105,149,50.487107
-6.468477,138,50.683546
12.848303,122,55.009618
15.631426,191,55.267758
-1.462292,145,55.467826
-47.025376,167,55.699139
16.816172,216,55.995713
-26.411854,1000,61.923866
23.442918,126,62.093649
-5.260587,1000,67.651424
48.451823,203,70.324733
41.211766,1000,75.837533
85.810439,1000,79.437265
60.912114,1000,80.842957
56.689136,1000,84.091587
54.265334,1000,90.293823
43.331457,232,94.773659
33.843391,314,95.211415
12.888379,212,95.50051
-30.421423,309,95.918091
66.571189,1000,99.704299
126.623808,1000,102.789638
84.270378,1000,107.478448
89.635248,1000,113.022887
98.548187,1000,119.077095
83.423409,1000,124.633034
122.105687,1000,130.387935
139.217207,1000,135.854535
104.879387,1000,139.759389
137.444109,1000,145.446727
103.621336,1000,150.203373
91.951765,1000,154.089521
174.810584,1000,159.714255
226.712251,646,164.898578
92.137436,1000,168.984677
97.501256,1000,172.79859
139.498975,1000,176.764601
130.65147,1000,182.244401
134.673876,1000,187.839081
125.54522,1000,192.678617
134.770472,1000,196.361773
112.355744,1000,202.082558
100.101374,1000,206.188772
108.200774,1000,210.368515
122.33719,1000,216.504637
127.936854,1000,222.01805
109.730025,1000,225.709193
112.421606,1000,227.072397
148.233966,1000,232.615663
136.758251,1000,236.902205
158.99315,1000,242.381663
86.921708,1000,248.453032
111.863004,1000,253.211815
144.515248,1000,259.266523
138.266725,1000,264.825915
146.595148,1000,269.479501
144.457856,1000,274.975889
61.063183,210,275.272992
169.877682,1000,280.854876
156.944299,1000,286.396677
163.072448,1000,292.552144
117.971986,1000,298.00057
178.399091,1000,303.383519
116.484412,1000,306.748791
148.449458,1000,312.892137
134.16926,1000,318.558242
