#{"t_start": 1784568096.4398239, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-166.495874,79,1.264212
-116.281252,123,1.484915
-99.134042,125,1.683673
-385.80566,140,1.897526
-252.817027,123,2.090062
-178.907523,88,2.247159
-32.303871,144,2.489123
-313.025139,132,2.705327
-34.28658,110,3.488457
-204.591237,136,3.71844
-359.248853,134,3.938447
-648.852701,173,4.230238
-116.272917,109,4.40716
-93.074053,95,4.562819
-547.833641,142,4.816252
-22.707078,154,5.075874
-479.600278,168,6.068105
-266.661791,99,6.231797
-130.561357,155,6.498768
-124.912314,113,6.688379
-92.203246,172,6.977116
-180.737475,104,7.157541
-40.294327,74,7.288045
-106.597405,130,7.511953
-45.9999,69,8.099385
-60.159932,101,8.267748
-153.213736,103,8.444502
-75.583585,80,8.585164
-307.609999,116,8.768938
-251.759058,118,8.957313
-62.364478,182,9.255415
-142.914525,84,9.398089
-70.598635,70,9.522638
-179.976575,185,10.542713
-358.30111,119,10.74533
-108.126634,171,11.046963
-47.419276,95,11.20821
-166.103148,131,11.439177
-156.708079,123,11.662826
-96.237156,147,11.919852
-1.757824,153,12.192267
-333.773405,129,12.889204
-111.078922,160,13.173284
-74.767751,146,13.425481
-117.589972,112,13.630129
-183.777934,103,13.810089
-81.975707,100,13.986555
-212.482398,149,14.233871
-36.886429,90,14.394317
-50.846054,89,15.288162
-302.451694,113,15.477514
-74.494503,85,15.632197
-109.447199,136,15.870121
-143.655182,135,16.09928
-90.410962,138,16.333784
-31.870511,106,16.509832
-83.147774,152,16.768963
-55.033677,79,16.906253
-60.237902,90,17.538367
-110.835075,127,17.753678
-187.626003,159,18.030984
-119.762223,75,18.152849
-43.042455,152,18.412018
-34.687448,85,18.555471
-247.414645,106,18.743527
-129.820713,194,19.076431
-27.203094,117,20.112678
27.670622,123,20.324504
-153.330486,94,20.493905
-107.426983,121,20.706156
-80.167456,154,20.966767
-325.181813,149,21.228675
-2.89672,137,21.466051
-54.255639,166,21.751944
-107.319552,107,22.423463
-45.213804,91,22.581679
-51.080778,132,22.802713
-84.825298,110,22.989595
-17.565537,89,23.147376
-106.987916,115,23.347656
-27.580792,81,23.49154
-256.302773,177,23.786932
-61.066338,146,24.037559
-129.902513,132,25.098445
-16.778845,106,25.282892
6.469662,95,25.446477
-58.361996,158,25.707131
2.160911,148,25.958143
-50.398603,102,26.129064
-63.42513,103,26.301887
-215.334141,110,26.498987
-21.099371,98,26.674048
-143.031207,162,27.423203
-42.616579,130,27.659891
-43.192007,128,27.891398
-79.200936,106,28.068125
-45.966617,120,28.281834
-307.667037,311,28.831988
-96.417985,108,29.850458
-19.940003,105,30.028425
-41.595962,121,30.239069
-21.407586,138,30.473909
3.286237,165,30.756252
6.182185,111,30.951967
-36.112444,101,31.137249
-52.105293,84,31.287429
-51.955763,131,31.517529
19.828382,114,32.166551
33.620626,114,32.361157
-26.116946,154,32.626135
32.932849,1000,35.220178
-9.138158,133,35.454077
-23.938838,106,35.641349
-12.936941,147,35.900691
-22.96588,121,36.109735
-208.872877,174,36.418208
-46.221655,157,37.111947
11.564205,183,37.440993
92.66633,1000,40.067492
-97.272995,213,40.4285
2.244605,125,40.64944
100.066845,1000,42.869607
39.95989,113,43.077997
137.938366,743,45.310327
78.299727,1000,47.561408
3.513806,140,47.80602
7.894507,119,48.013493
-31.349855,138,48.245115
-97.97294,240,49.758603
123.401367,1000,51.562637
152.467272,1000,53.806298
91.490725,1000,56.680234
35.618645,150,57.381783
-7.250587,154,57.664837
9.364439,146,57.925123
93.781459,1000,60.889988
96.769756,1000,63.139209
126.11196,1000,66.324856
91.514286,1000,68.521421
88.715177,1000,71.641276
-259.967969,401,72.34333
165.16556,1000,74.546471
22.37516,173,74.847341
109.061211,1000,78.065865
150.091761,1000,80.253905
179.64639,1000,83.500036
151.09808,1000,85.692889
162.954858,1000,89.010297
156.487068,1000,91.25
150.450741,1000,94.660629
140.00444,1000,96.90311
166.442281,1000,100.101023
128.796025,1000,102.348439
27.704425,149,102.607685
24.585451,159,102.87474
13.642467,164,104.377716
129.514364,1000,106.601074
-6.387045,194,106.938234
143.113708,1000,110.422586
127.623131,1000,112.667709
168.022218,1000,115.887062
114.652485,1000,118.0631
174.750869,1000,121.188351
57.727701,202,121.544259
121.602701,1000,123.775174
155.532457,1000,126.993718
151.331391,1000,129.24652
59.40204,213,129.606951
168.082114,1000,132.889306
140.676007,1000,135.130257
175.613469,1000,138.491081
117.49335,1000,140.733775
126.051033,1000,144.290267
168.11381,1000,146.534098
153.096829,1000,150.126095
34.932943,180,150.453385
153.92447,1000,152.63784
176.375591,1000,155.996078
166.265861,1000,158.241757
135.512309,1000,161.5821
160.735969,1000,163.836316
171.330027,1000,167.191093
109.904168,1000,169.380324
